Tempo,Monocitos susceptiveis/uL
0.0,250.0
0.01,248.73987447457327
0.02,247.4922865088014
0.03,246.2559528228879
0.04,245.02968852282217
0.05,243.8124000387469
0.06,242.6030786382355
0.07,241.4007944619705
0.08,240.20469103469802
0.09,239.0139802090949
0.1,237.82793750439973
0.11,236.64589780540157
0.12,235.46725139070588
0.13,234.2914402621582
0.14,233.11795474994966
0.15,231.94633037028916
0.16,230.7761449146413
0.17,229.60701575142457
0.18,228.43859732276778
0.19,227.27057882045366
0.2,226.10268202656027
0.21,224.93465930555607
0.22,223.76629173573164
0.23,222.59738736887078
0.24,221.4277796079886
0.25,220.2573256938045
0.26,219.08590529138158
0.27,217.91341916906038
0.28,216.7397879624487
0.29,215.56495101681017
0.3,214.38886530172337
0.31,213.21150439236973
0.32,212.03285751225334
0.33,210.8529286325649
0.34,209.67173562377806
0.35000000000000003,208.48930945541238
0.36,207.30569344021572
0.37,206.12094251931384
0.38,204.9351225851458
0.39,203.74830983925543
0.4,202.5605901822416
0.41000000000000003,201.37205863338497
0.42,200.18281877766864
0.43,198.9929822380955
0.44,197.8026681713764
0.45,196.61200278522355
0.46,195.42111887563115
0.47000000000000003,194.2301553826644
0.48,193.039256963405
0.49,191.84857358082164
0.5,190.65826010744496
0.51,189.46847594282926
0.52,188.27938464388004
0.53,187.0911535672155
0.54,185.9039535228135
0.55,184.71795843827223
0.56,183.53334503308528
0.5700000000000001,182.3502925023974
0.58,181.16898220976924
0.59,179.9895973885361
0.6,178.81232285139816
0.61,177.63734470792775
0.62,176.46485008972417
0.63,175.2950268829864
0.64,174.12806346831164
0.65,172.96414846756093
0.66,171.803470497664
0.67,170.64621793126227
0.68,169.49257866411403
0.6900000000000001,168.34273988920697
0.7000000000000001,167.19688787754288
0.71,166.0552077655755
0.72,164.91788334929683
0.73,163.78509688497934
0.74,162.65702889659104
0.75,161.5338579899087
0.76,160.41576067335976
0.77,159.30291118562832
0.78,158.1954813300626
0.79,157.09364031592244
0.8,155.99755460650488
0.81,154.9073877741836
0.8200000000000001,153.8233003623958
0.8300000000000001,152.7454497546047
0.84,151.67399005026172
0.85,150.6090719477853
0.86,149.55084263456692
0.87,148.4994456840068
0.88,147.45502095957366
0.89,146.4177045258738
0.9,145.38762856670542
0.91,144.3649213100646
0.92,143.3497069600592
0.93,142.3421056356767
0.9400000000000001,141.3422333163421
0.9500000000000001,140.35020179419115
0.96,139.36611863297452
0.97,138.39008713349764
0.98,137.42220630549184
0.99,136.4625708458017
1.0,135.51127112276507
1.01,134.5683931666521
1.02,133.6340186660217
1.03,132.70822496984502
1.04,131.79108509523817
1.05,130.88266774063845
1.06,129.98303730425224
1.07,129.09225390759605
1.08,128.21037342394672
1.09,127.33744751151158
1.1,126.4735236511251
1.11,125.61864518827451
1.12,124.7728513792538
1.1300000000000001,123.93617744124289
1.1400000000000001,123.10865460610665
1.1500000000000001,122.29031017770706
1.16,121.48116759252117
1.17,120.68124648335724
1.18,119.89056274596155
1.19,119.10912860830965
1.2,118.33695270237709
1.21,117.57404013818649
1.22,116.82039257993044
1.23,116.07600832397249
1.24,115.34088237853179
1.25,114.61500654486076
1.26,113.89836949972917
1.27,113.19095687903238
1.28,112.49275136234652
1.29,111.80373275825805
1.3,111.13045943454054
1.31,110.4746841273428
1.32,109.83602091159854
1.33,109.2140992485828
1.34,108.60856286872776
1.35,108.01906875260124
1.36,107.4452862013441
1.37,106.88689598863029
1.3800000000000001,106.34358958691102
1.3900000000000001,105.81506846133938
1.4000000000000001,105.30104342534888
1.41,104.80123405238643
1.42,104.31536813877943
1.43,103.84318121315492
1.44,103.3844160882283
1.45,102.93882245114385
1.46,102.5061564888831
1.47,102.08618054556162
1.48,101.67866280871377
1.49,101.28337702191926
1.5,100.90010222135909
1.51,100.52862249410101
1.52,100.16872675611025
1.53,99.82020854815896
1.54,99.48286584797184
1.55,99.15650089709371
1.56,98.84092004110221
1.57,98.53593358191294
1.58,98.24135564103865
1.59,97.95700403276841
1.6,97.68270014632785
1.61,97.41826883616856
1.62,97.16353831961415
1.6300000000000001,96.91834008116285
1.6400000000000001,96.68250878281289
1.6500000000000001,96.4558821798368
1.6600000000000001,96.23830104148611
1.67,96.0296090761574
1.68,95.82965286059687
1.69,95.63828177276136
1.7,95.45534792799192
1.71,95.2807061181898
1.72,95.11421375371616
1.73,94.95573080776484
1.74,94.80511976298298
1.75,94.66224556013756
1.76,94.52697554864682
1.77,94.39917943881441
1.78,94.27872925562144
1.79,94.16549929394664
1.8,94.05936607509925
1.81,93.96020830456143
1.82,93.86790683084847
1.83,93.78234460540507
1.84,93.70340664346531
1.85,93.63097998581175
1.86,93.5649536613767
1.87,93.50521865063517
1.8800000000000001,93.4516678497446
1.8900000000000001,93.40419603539205
1.9000000000000001,93.36269983031391
1.9100000000000001,93.32707766945728
1.92,93.29722976675583
1.93,93.27305808249648
1.94,93.25446629125535
1.95,93.24135975038489
1.96,93.23364546903527
1.97,93.23123207769595
1.98,93.23402979824438
1.99,93.24195041449053
2.0,93.25490724320713
2.0100000000000002,93.27281510563657
2.02,93.29559029946648
2.0300000000000002,93.32315057126652
2.04,93.35541508937986
2.05,93.39230441726325
2.06,93.4337404872701
2.07,93.47964657487138
2.08,93.52994727330939
2.09,93.58456846867978
2.1,93.64343731543748
2.11,93.70648221232213
2.12,93.77363277869884
2.13,93.8448198313103
2.14,93.91997536143607
2.15,93.99903251245502
2.16,94.08192555780697
2.17,94.1685898793495
2.18,94.2589619461057
2.19,94.35297929339896
2.2,94.45058050237046
2.21,94.55170517987531
2.22,94.65629393875301
2.23,94.76428837846781
2.24,94.87563106611479
2.25,94.99026551778705
2.2600000000000002,95.10813618029951
2.27,95.22918841326495
2.2800000000000002,95.35336847151741
2.29,95.48062348787847
2.3000000000000003,95.61090145626163
2.31,95.74415121511007
2.32,95.88032243116292
2.33,96.01936558354538
2.34,96.1612319481776
2.35,96.30587358249763
2.36,96.45324331049349
2.37,96.60329470803943
2.38,96.75598208853143
2.39,96.91126048881709
2.4,97.06908565541498
2.41,97.2294140310184
2.42,97.3922027412788
2.43,97.55740958186396
2.44,97.7249930057859
2.45,97.89491211099374
2.46,98.06712662822683
2.47,98.24159690912305
2.48,98.4182839145778
2.49,98.59714920334876
2.5,98.7781549209018
2.5100000000000002,98.96126378849331
2.52,99.14643909248453
2.5300000000000002,99.33364467388299
2.54,99.52284491810695
2.5500000000000003,99.71400474496804
2.56,99.90708959886773
2.57,100.10206543920356
2.58,100.29889873098043
2.59,100.497556435623
2.6,100.69800600198481
2.61,100.90021535755015
2.62,101.10415289982451
2.63,101.30978748790967
2.64,101.51708843425936
2.65,101.7260254966118
2.66,101.9365688700951
2.67,102.14868917950194
2.68,102.36235747172968
2.69,102.57754520838235
2.7,102.79422425853095
2.71,103.01236689162855
2.72,103.23194577057674
2.73,103.45293394494006
2.74,103.67530484430503
2.75,103.89903227178073
2.7600000000000002,104.1240903976374
2.77,104.35045375308034
2.7800000000000002,104.57809722415568
2.79,104.80699604578525
2.8000000000000003,105.03712579592752
2.81,105.26846238986167
2.82,105.5009820745921
2.83,105.73466142337053
2.84,105.96947733033292
2.85,106.20540700524872
2.86,106.44242796837966
2.87,106.6805180454458
2.88,106.91965536269596
2.89,107.1598183420806
2.9,107.40098569652429
2.91,107.6431364252958
2.92,107.8862498094733
2.93,108.13030540750268
2.94,108.3752830508465
2.95,108.62116283972183
2.96,108.86792513892453
2.97,109.1155505737382
2.98,109.36402002592578
2.99,109.61331462980169
3.0,109.8634157683829
3.0100000000000002,110.11430506961676
3.02,110.36596440268416
3.0300000000000002,110.61837587437586
3.04,110.8715218255406
3.0500000000000003,111.1253848276031
3.06,111.37994767915045
3.0700000000000003,111.63519340258514
3.08,111.89110524084339
3.09,112.14766665417693
3.1,112.40486131699716
3.11,112.66267311477975
3.12,112.92108614102878
3.13,113.18008469429859
3.14,113.43965327527225
3.15,113.69977658389527
3.16,113.96043951656324
3.17,114.22162716336217
3.18,114.48332480536031
3.19,114.7455179119502
3.2,115.00819213823993
3.21,115.27133332249232
3.22,115.53492748361096
3.23,115.79896081867206
3.24,116.06341970050111
3.25,116.32829067529316
3.2600000000000002,116.59356046027585
3.27,116.85921594141422
3.2800000000000002,117.12524417115625
3.29,117.39163236621829
3.3000000000000003,117.65836790540943
3.31,117.92543832749398
3.3200000000000003,118.19283132909109
3.33,118.46053476261083
3.34,118.72853663422572
3.35,118.99682510187712
3.36,119.26538847331554
3.37,119.53421520417417
3.38,119.80329389607492
3.39,120.07261329476617
3.4,120.34216228829165
3.41,120.61192990518961
3.42,120.8819053127218
3.43,121.15207781513134
3.44,121.42243685192919
3.45,121.69297199620829
3.46,121.96367295298494
3.47,122.2345295575668
3.48,122.50553177394691
3.49,122.77666969322316
3.5,123.04793353204268
3.5100000000000002,123.31931363107073
3.52,123.59080045348333
3.5300000000000002,123.86238458348335
3.54,124.13405672483943
3.5500000000000003,124.40580769944732
3.56,124.6776284459132
3.5700000000000003,124.94951001815836
3.58,125.22144358404499
3.59,125.49342042402255
3.6,125.76543192979427
3.61,126.03746960300353
3.62,126.30952505393937
3.63,126.58159000026117
3.64,126.85365626574182
3.65,127.12571577902908
3.66,127.39776057242481
3.67,127.66978278068169
3.68,127.94177463981696
3.69,128.2137284859432
3.7,128.4856367541153
3.71,128.75749197719378
3.72,129.02928678472387
3.73,129.30101390183006
3.74,129.572666148126
3.75,129.84423643663914
3.7600000000000002,130.1157177727503
3.77,130.38710325314733
3.7800000000000002,130.65838606479312
3.79,130.92955948390716
3.8000000000000003,131.20061687496096
3.81,131.47155168968666
3.8200000000000003,131.74235746609875
3.83,132.01302782752853
3.84,132.28355648167138
3.85,132.55393721964626
3.86,132.82416391506734
3.87,133.09423052312775
3.88,133.36413107969477
3.89,133.63385970041682
3.9,133.90341057984165
3.91,134.1727779905455
3.92,134.44195628227354
3.93,134.71093988109052
3.94,134.9797232885426
3.95,135.24830108082895
3.96,135.51666790798396
3.97,135.78481849306925
3.98,136.05274763137564
3.99,136.32045018963473
4.0,136.58792110524004
4.01,136.8551553854776
4.0200000000000005,137.12214810676554
4.03,137.388894413903
4.04,137.6553895193278
4.05,137.92162870238292
4.0600000000000005,138.18760730859162
4.07,138.4533207489411
4.08,138.71876449917445
4.09,138.98393409909087
4.1,139.24882515185402
4.11,139.51343332330833
4.12,139.7777543413031
4.13,140.04178399502453
4.14,140.30551813433507
4.15,140.5689526691206
4.16,140.83208356864475
4.17,141.09490686091067
4.18,141.35741863202986
4.19,141.61961502559814
4.2,141.8814922420785
4.21,142.143046538191
4.22,142.40427422630916
4.23,142.66517167386328
4.24,142.92573530275024
4.25,143.18596158874965
4.26,143.4458470609466
4.2700000000000005,143.70538830116058
4.28,143.96458194338067
4.29,144.2234246732068
4.3,144.48191322729716
4.3100000000000005,144.74004439282135
4.32,144.99781500691975
4.33,145.25522195616836
4.34,145.51226217604955
4.3500000000000005,145.7689326504284
4.36,146.02523041103467
4.37,146.28115253695012
4.38,146.53669615410138
4.39,146.79185843475824
4.4,147.04663659703706
4.41,147.30102790440952
4.42,147.55502966521638
4.43,147.80863923218658
4.44,148.06185400196108
4.45,148.31467141462187
4.46,148.56708895322575
4.47,148.81910414334303
4.48,149.07071455260092
4.49,149.32191779023174
4.5,149.57271150662572
4.51,149.82309339288844
4.5200000000000005,150.07306118040276
4.53,150.3226126403953
4.54,150.5717455835074
4.55,150.82045785937035
4.5600000000000005,151.068747356185
4.57,151.3166120003058
4.58,151.56404975582876
4.59,151.81105862418394
4.6000000000000005,152.05763664373183
4.61,152.3037818893639
4.62,152.5494924721073
4.63,152.79476653873326
4.64,153.03960227136983
4.65,153.2839978871182
4.66,153.527951637673
4.67,153.7714618089465
4.68,154.01452672069644
4.69,154.25714472615766
4.7,154.49931421167744
4.71,154.74103359635447
4.72,154.98230133168138
4.73,155.22311590119094
4.74,155.46347582010569
4.75,155.70337963499114
4.76,155.94282592341239
4.7700000000000005,156.18181329359416
4.78,156.42034038408423
4.79,156.6584058634201
4.8,156.8960084297993
4.8100000000000005,157.13314681075252
4.82,157.3698197628202
4.83,157.60602607123252
4.84,157.84176454959214
4.8500000000000005,158.0770340395604
4.86,158.31183341054654
4.87,158.54616155939993
4.88,158.78001741010544
4.89,159.01339991348166
4.9,159.2463080468823
4.91,159.4787408139004
4.92,159.71069724407556
4.93,159.94217639260384
4.94,160.17317734005084
4.95,160.40369919206734
4.96,160.63374107910784
4.97,160.86330215615192
4.98,161.09238160242822
4.99,161.32097862114128
5.0,161.5490924392009
5.01,161.77672230695438
