Tempo,Linfocitos T/uL
0.0,2000.0
0.01,2006.3350389237826
0.02,2013.1581349445987
0.03,2020.451053335679
0.04,2028.1970592764133
0.05,2036.3807901648095
0.06,2044.9881399091648
0.07,2054.0061538703926
0.08,2063.4229332918876
0.09,2073.227548196538
0.1,2083.4099578538985
0.11,2093.9609380274774
0.12,2104.8720143049586
0.13,2116.1354008950034
0.14,2127.743944344758
0.15,2139.691071693794
0.16,2151.9707426341497
0.17,2164.5774052934585
0.18,2177.505955299776
0.19,2190.7516978233643
0.2,2204.310312323052
0.21,2218.177819753394
0.22,2232.3505520142226
0.23,2246.82512344668
0.24,2261.5984041998463
0.25,2276.6674953099186
0.26,2292.0297053498316
0.27,2307.682528521447
0.28,2323.623624075221
0.29,2339.85079695371
0.3,2356.361979565584
0.31,2373.1552146061063
0.32,2390.2286388484035
0.33,2407.5804678374266
0.34,2425.2089814253477
0.35000000000000003,2443.1125100933377
0.36,2461.2894220103035
0.37,2479.738110784265
0.38,2498.456983866701
0.39,2517.444451574408
0.4,2536.69891669725
0.41000000000000003,2556.218764663681
0.42,2576.002354239079
0.43,2596.0480087348114
0.44,2616.3540077085854
0.45,2636.9185791389773
0.46,2657.7398920591936
0.47000000000000003,2678.8160496370338
0.48,2700.145082689757
0.49,2721.7249436240977
0.5,2743.5535007930393
0.51,2765.6285332621724
0.52,2787.947725979499
0.53,2810.50866534346
0.54,2833.308835164723
0.55,2856.345613017901
0.56,2879.6162669798823
0.5700000000000001,2903.1179527518348
0.58,2926.847711162235
0.59,2950.802466048426
0.6,2974.9790225142838
0.61,2999.3740655615416
0.62,3023.9841590921997
0.63,3048.805745279238
0.64,3073.8351443025763
0.65,3099.0685544468524
0.66,3124.50205255718
0.67,3150.1315948485467
0.68,3175.9530180639754
0.6900000000000001,3201.9620409759805
0.7000000000000001,3228.1542662252123
0.71,3254.5251824895145
0.72,3281.0701669759146
0.73,3307.7844882273466
0.74,3334.663309235162
0.75,3361.7016908477376
0.76,3388.8945954647297
0.77,3416.236891005788
0.78,3443.7233551417853
0.79,3471.348679775919
0.8,3499.107475761327
0.81,3526.9942778411964
0.8200000000000001,3555.003549796719
0.8300000000000001,3583.129689787642
0.84,3611.3670358696245
0.85,3639.709871672125
0.86,3668.1524322200803
0.87,3696.688909882289
0.88,3725.3134604290676
0.89,3754.0202091815217
0.9,3782.8032572345696
0.91,3811.6566877357664
0.92,3840.5745722019196
0.93,3869.550976855534
0.9400000000000001,3898.5799689632163
0.9500000000000001,3927.6556231583677
0.96,3956.7720277307217
0.97,3985.923290865626
0.98,4015.1035468163427
0.99,4044.3069619931093
1.0,4073.527740953209
1.01,4102.760132276894
1.02,4131.995793452577
1.03,4161.21352135676
1.04,4190.397038101094
1.05,4219.530923220498
1.06,4248.600581758678
1.07,4277.592213901237
1.08,4306.492785976493
1.09,4335.2900026684565
1.1,4363.972280307991
1.11,4392.528721127226
1.12,4420.949088379119
1.1300000000000001,4449.223782238855
1.1400000000000001,4477.343816416804
1.1500000000000001,4505.300795424114
1.16,4533.086892442003
1.17,4560.694827754409
1.18,4588.117847711166
1.19,4615.3497041952805
1.2,4642.384634573361
1.21,4669.217342112935
1.22,4695.842976854259
1.23,4722.257116927483
1.24,4748.4557503086735
1.25,4774.435257010339
1.26,4800.192391703764
1.27,4825.724266771724
1.28,4851.028335791096
1.29,4876.10237744548
1.3,4900.944479868317
1.31,4925.5530254171335
1.32,4949.926675879489
1.33,4974.064358111018
1.34,4997.965250105631
1.35,5021.628767497511
1.36,5045.054550494055
1.37,5068.242451238335
1.3800000000000001,5091.192521599076
1.3900000000000001,5113.905001385503
1.4000000000000001,5136.380306983801
1.41,5158.619020411268
1.42,5180.621878783638
1.43,5202.3897641904405
1.44,5223.923693972666
1.45,5245.224811396471
1.46,5266.294376716125
1.47,5287.133758618933
1.48,5307.744426044405
1.49,5328.127940369577
1.5,5348.285947951997
1.51,5368.220173021601
1.52,5387.9324109124245
1.53,5407.424521624864
1.54,5426.698423709025
1.55,5445.756088459537
1.56,5464.599534412118
1.57,5483.230822132089
1.58,5501.652049285004
1.59,5519.865345979574
1.6,5537.872870373059
1.61,5555.676804529388
1.62,5573.279350520321
1.6300000000000001,5590.682726760093
1.6400000000000001,5607.889164564099
1.6500000000000001,5624.900904922316
1.6600000000000001,5641.7201954783395
1.67,5658.349287705073
1.68,5674.790434268319
1.69,5691.045886569707
1.7,5707.117892460634
1.71,5723.008694119073
1.72,5738.720526081397
1.73,5754.255613421535
1.74,5769.616170070064
1.75,5784.804397266065
1.76,5799.82248213481
1.77,5814.672596384603
1.78,5829.3568951163315
1.79,5843.877515739542
1.8,5858.2365769890675
1.81,5872.436178036508
1.82,5886.4783976910685
1.83,5900.365293684508
1.84,5914.098902035174
1.85,5927.6812364863135
1.86,5941.114288014079
1.87,5954.400024400849
1.8800000000000001,5967.540389869695
1.8900000000000001,5980.537304776008
1.9000000000000001,5993.392665352532
1.9100000000000001,6006.10834350419
1.92,6018.686186649297
1.93,6031.128017603929
1.94,6043.435634506376
1.95,6055.610810778772
1.96,6067.655295123155
1.97,6079.57081154935
1.98,6091.3590594322295
1.99,6103.021713596021
2.0,6114.560424423479
2.0100000000000002,6125.976817987858
2.02,6137.272496205748
2.0300000000000002,6148.4490370089425
2.04,6159.507994533626
2.05,6170.45089932526
2.06,6181.27925855767
2.07,6191.994556264891
2.08,6202.598253584467
2.09,6213.091789010941
2.1,6223.476578658388
2.11,6233.754016530885
2.12,6243.925474799929
2.13,6253.992304087834
2.14,6263.955833756237
2.15,6273.8173721989015
2.16,6283.578207138041
2.17,6293.239605923469
2.18,6302.8028158339175
2.19,6312.269064379918
2.2,6321.63955960768
2.21,6330.915490403461
2.22,6340.098026797945
2.23,6349.188320270184
2.24,6358.18750405072
2.25,6367.096693423503
2.2600000000000002,6375.916986026266
2.27,6384.649462149067
2.2800000000000002,6393.295185030698
2.29,6401.85520115272
2.3000000000000003,6410.330540530895
2.31,6418.722217003796
2.32,6427.031228518423
2.33,6435.258557412653
2.34,6443.405170694376
2.35,6451.472020317183
2.36,6459.460043452508
2.37,6467.370162758103
2.38,6475.203286642771
2.39,6482.960309527284
2.4,6490.642112101429
2.41,6498.249561577119
2.42,6505.783511937538
2.43,6513.244804182295
2.44,6520.634266568555
2.45,6527.952714848129
2.46,6535.200952500539
2.47,6542.3797709620285
2.48,6549.489949850551
2.49,6556.532257186731
2.5,6563.507449610821
2.5100000000000002,6570.41627259568
2.52,6577.259460655794
2.5300000000000002,6584.03773755237
2.54,6590.751816494541
2.5500000000000003,6597.402400336711
2.56,6603.990181772087
2.57,6610.515843522441
2.58,6616.9800585241355
2.59,6623.383490110474
2.6,6629.7267921904095
2.61,6636.010609423678
2.62,6642.235577392388
2.63,6648.40232276914
2.64,6654.511463481704
2.65,6660.563608874338
