Tempo,Linfocitos T/uL
0.0,2000.0
0.01,2006.3350389237826
0.02,2013.1581349445987
0.03,2020.451053335679
0.04,2028.1970592764133
0.05,2036.3807901648095
0.06,2044.9881399091648
0.07,2054.0061538703926
0.08,2063.4229332918876
0.09,2073.227548196538
0.1,2083.4099578538985
0.11,2093.9609380274774
0.12,2104.8720143049586
0.13,2116.1354008950034
0.14,2127.743944344758
0.15,2139.691071693794
0.16,2151.9707426341497
0.17,2164.5774052934585
0.18,2177.505955299776
0.19,2190.7516978233643
0.2,2204.310312323052
0.21,2218.177819753394
0.22,2232.3505520142226
0.23,2246.82512344668
0.24,2261.5984041998463
0.25,2276.6674953099186
0.26,2292.0297053498316
0.27,2307.682528521447
0.28,2323.623624075221
0.29,2339.85079695371
0.3,2356.361979565584
0.31,2373.1552146061063
0.32,2390.2286388484035
0.33,2407.5804678374266
0.34,2425.2089814253477
0.35000000000000003,2443.1125100933377
0.36,2461.2894220103035
0.37,2479.738110784265
0.38,2498.456983866701
0.39,2517.444451574408
0.4,2536.69891669725
0.41000000000000003,2556.218764663681
0.42,2576.002354239079
0.43,2596.0480087348114
0.44,2616.3540077085854
0.45,2636.9185791389773
0.46,2657.7398920591936
0.47000000000000003,2678.8160496370338
0.48,2700.145082689757
0.49,2721.7249436240977
0.5,2743.5535007930393
0.51,2765.6285332621724
0.52,2787.947725979499
0.53,2810.50866534346
0.54,2833.308835164723
0.55,2856.345613017901
0.56,2879.6162669798823
0.5700000000000001,2903.1179527518348
0.58,2926.847711162235
0.59,2950.802466048426
0.6,2974.9790225142838
0.61,2999.3740655615416
0.62,3023.9841590921997
0.63,3048.805745279238
0.64,3073.8351443025763
0.65,3099.0685544468524
0.66,3124.50205255718
0.67,3150.1315948485467
0.68,3175.9530180639754
0.6900000000000001,3201.9620409759805
0.7000000000000001,3228.1542662252123
0.71,3254.5251824895145
0.72,3281.0701669759146
0.73,3307.7844882273466
0.74,3334.663309235162
0.75,3361.7016908477376
0.76,3388.8945954647297
0.77,3416.236891005788
0.78,3443.7233551417853
0.79,3471.348679775919
0.8,3499.107475761327
0.81,3526.9942778411964
0.8200000000000001,3555.003549796719
0.8300000000000001,3583.129689787642
0.84,3611.3670358696245
0.85,3639.709871672125
0.86,3668.1524322200803
0.87,3696.688909882289
0.88,3725.3134604290676
0.89,3754.0202091815217
0.9,3782.8032572345696
0.91,3811.6566877357664
0.92,3840.5745722019196
0.93,3869.550976855534
0.9400000000000001,3898.5799689632163
0.9500000000000001,3927.6556231583677
0.96,3956.7720277307217
0.97,3985.923290865626
0.98,4015.1035468163427
0.99,4044.3069619931093
1.0,4073.527740953209
1.01,4102.760132276894
1.02,4131.993518072928
1.03,4161.19332959729
1.04,4190.334194355121
1.05,4219.392354399023
1.06,4248.345608616693
1.07,4277.173256282415
1.08,4305.856041671008
1.09,4334.376099583087
1.1,4362.716901673584
1.11,4390.863203511996
1.12,4418.800992333557
1.1300000000000001,4446.51743546593
1.1400000000000001,4474.000829436744
1.1500000000000001,4501.240549783763
1.16,4528.227001602286
1.17,4554.951570873841
1.18,4581.406576626817
1.19,4607.5852239838305
1.2,4633.481558152562
1.21,4659.090419416928
1.22,4684.407399184107
1.23,4709.428797140248
1.24,4734.151579564077
1.25,4758.573338843126
1.26,4782.692254232299
1.27,4806.507053888975
1.28,4830.016978213137
1.29,4853.221744515097
1.3,4876.121513027508
1.31,4898.7168542724785
1.32,4921.008717788956
1.33,4942.998402220048
1.34,4964.68752675477
1.35,4986.078003913843
1.36,5007.172013664594
1.37,5027.971978845905
1.3800000000000001,5048.4805418803135
1.3900000000000001,5068.70054274701
1.4000000000000001,5088.634998186464
1.41,5108.287082104759
1.42,5127.660107143494
1.43,5146.75750737919
1.44,5165.582822114588
1.45,5184.139680723009
1.46,5202.431788506008
1.47,5220.462913523923
1.48,5238.2368743585375
1.49,5255.757528766943
1.5,5273.028763185759
1.51,5290.054483045155
1.52,5306.838603852586
1.53,5323.385043006726
1.54,5339.697712302882
1.55,5355.7805110919935
1.56,5371.637320056312
1.57,5387.271995565906
1.58,5402.688364581241
1.59,5417.8902200682915
1.6,5432.881316893814
1.61,5447.665368169718
1.62,5462.246042016686
1.6300000000000001,5476.626958718522
1.6400000000000001,5490.811688239946
1.6500000000000001,5504.803748081891
1.6600000000000001,5518.606601449548
1.67,5532.223655709729
1.68,5545.658261115295
1.69,5558.913709775613
1.7,5571.993234853178
1.71,5584.900009967669
1.72,5597.63714878979
1.73,5610.207704808357
1.74,5622.614671255046
1.75,5634.860981172267
1.76,5646.94950761053
1.77,5658.883063942577
1.78,5670.664404282425
1.79,5682.296223998277
1.8,5693.781160309038
1.81,5705.1217929548975
1.82,5716.32064493318
1.83,5727.380183291271
1.84,5738.302819969103
1.85,5749.090912684235
1.86,5759.746765853148
1.87,5770.272631542863
1.8800000000000001,5780.670710447516
1.8900000000000001,5790.9431528849545
1.9000000000000001,5801.092059808849
1.9100000000000001,5811.119483832238
1.92,5821.02743025878
1.93,5830.8178581183265
1.94,5840.492681203773
1.95,5850.053769106446
1.96,5859.502948247543
1.97,5868.842002903415
1.98,5878.072676222739
1.99,5887.1966712338035
2.0,5896.215651840388
2.0100000000000002,5905.131243804861
2.02,5913.945035717321
2.0300000000000002,5922.658579949763
2.04,5931.27339359438
2.05,5939.79095938526
2.06,5948.212726602866
2.07,5956.540111960769
2.08,5964.774500474246
2.09,5972.917246310413
2.1,5980.969673619656
2.11,5988.933077348217
2.12,5996.808724031836
2.13,6004.597852570418
2.14,6012.30167498375
2.15,6019.921377148363
2.16,6027.45811951563
2.17,6034.913037811274
2.18,6042.287243716482
2.19,6049.581825530832
2.2,6056.797848817294
2.21,6063.936357029573
2.22,6070.998372122079
2.23,6077.984895142841
2.24,6084.896906809674
2.25,6091.735368069939
2.2600000000000002,6098.501220644234
2.27,6105.195387554371
2.2800000000000002,6111.8187736359805
2.29,6118.37226603611
2.3000000000000003,6124.85673469618
2.31,6131.273032820649
2.32,6137.621997331755
2.33,6143.90444931069
2.34,6150.121194425571
2.35,6156.273023346551
2.36,6162.360712148434
2.37,6168.385022701134
2.38,6174.346703048323
2.39,6180.246487774595
2.4,6186.085098361495
2.41,6191.863243532721
2.42,6197.581619588832
2.43,6203.240910731759
2.44,6208.841789379438
2.45,6214.384916470854
2.46,6219.870941761797
2.47,6225.300504111609
2.48,6230.67423176119
2.49,6235.992742602555
2.5,6241.256644440189
2.5100000000000002,6246.466535244459
2.52,6251.623003397332
2.5300000000000002,6256.726627930648
2.54,6261.777978757174
2.5500000000000003,6266.777616894672
2.56,6271.726094683199
2.57,6276.623955995866
2.58,6281.471736443242
2.59,6286.269963571633
2.6,6291.019157055408
2.61,6295.71982888358
2.62,6300.372483540809
2.63,6304.977618183026
2.64,6309.5357228078265
2.65,6314.047280419825
2.66,6318.512767191115
