Tempo,Linfocitos T/uL
0.0,2000.0
0.01,2006.6392530667708
0.02,2013.7836081702098
0.03,2021.4136457439022
0.04,2029.5115252674743
0.05,2038.0608499211316
0.06,2047.04654399149
0.07,2056.4547416114106
0.08,2066.272685593763
0.09,2076.48863527183
0.1,2087.091782391098
0.11,2098.0721742115225
0.12,2109.4206430785944
0.13,2121.128741807863
0.14,2133.1886843028037
0.15,2145.593290891634
0.16,2158.335937926204
0.17,2171.410511236517
0.18,2184.811363078753
0.19,2198.5332722537105
0.2,2212.571407106971
0.21,2226.921291152542
0.22,2241.578771088657
0.23,2256.539986998324
0.24,2271.801344548441
0.25,2287.3594890202326
0.26,2303.2112810206145
0.27,2319.3537737391903
0.28,2335.78419162907
0.29,2352.499910401803
0.3,2369.498438237594
0.31,2386.7773981217438
0.32,2404.3345112270526
0.33,2422.1675812698886
0.34,2440.274479774773
0.35000000000000003,2458.6531321888374
0.36,2477.301504793366
0.37,2496.21759236496
0.38,2515.3994065436686
0.39,2534.8449648698
0.4,2554.5522804550897
0.41000000000000003,2574.5193522574773
0.42,2594.744155932003
0.43,2615.224635233267
0.44,2635.9586939475485
0.45,2656.944188335089
0.46,2678.1789200651774
0.47000000000000003,2699.66062962862
0.48,2721.3869902139004
0.49,2743.3556020348556
0.5,2765.5639870990535
0.51,2788.0095844072357
0.52,2810.674244139282
0.53,2833.5361282641675
0.54,2856.5744596461436
0.55,2879.7694037637702
0.56,2903.102007366386
0.5700000000000001,2926.5541444155397
0.58,2950.108468358865
0.59,2973.7483699074864
0.6,2997.4579395942465
0.61,3021.2219344815844
0.62,3045.025748467086
0.63,3068.855385703462
0.64,3092.6974367095672
0.65,3116.5390568013563
0.66,3140.367946517475
0.67,3164.1723337544267
0.68,3187.940957361694
0.6900000000000001,3211.6630519784803
0.7000000000000001,3235.328333921416
0.71,3258.9269879570984
0.72,3282.4496548151074
0.73,3305.8874193164684
0.74,3329.231799009749
0.75,3352.4747332222596
0.76,3375.6085724474506
0.77,3398.6260680016935
0.78,3421.5203618943942
0.79,3444.284976864925
0.8,3466.9138065483126
0.81,3489.401105739101
0.8200000000000001,3511.741480729362
0.8300000000000001,3533.9298797026368
0.84,3555.961583170603
0.85,3577.8321944436816
0.86,3599.5376301305673
0.87,3621.074110664918
0.88,3642.438150860204
0.89,3663.6265504960243
0.9,3684.6363849411127
0.91,3705.464995819817
0.92,3726.1099817300574
0.93,3746.569189021721
0.9400000000000001,3766.840702645126
0.9500000000000001,3786.9228370796554
0.96,3806.8141273529022
0.97,3826.5133201607578
0.98,3846.0193650987935
0.99,3865.331406015077
1.0,3884.448772494246
1.01,3903.3709714822444
1.02,3922.0976790606305
1.03,3940.628732378805
1.04,3958.964121751903
1.05,3977.1039829314323
1.06,3995.048589555085
1.07,4012.7983457814325
1.08,4030.353779114527
1.09,4047.715533422724
1.1,4064.884362155346
1.11,4081.861121760107
1.12,4098.646765303571
1.1300000000000001,4115.2423362962445
1.1400000000000001,4131.648962723292
1.1500000000000001,4147.867851281268
1.16,4163.900281820668
1.17,4179.747601993611
1.18,4195.411222105399
1.19,4210.892610168292
1.2,4226.193287155354
1.21,4241.314822451853
1.22,4256.258829501317
1.23,4271.026961643016
1.24,4285.620908137342
1.25,4300.042390375295
1.26,4314.293158268046
1.27,4328.374986812318
1.28,4342.289672827198
1.29,4356.039031857792
1.3,4369.624895241041
1.31,4383.049107328909
1.32,4396.313522864084
1.33,4409.4200045032685
1.34,4422.370420483107
1.35,4435.166642423796
1.36,4447.8105432654
1.37,4460.303995331951
1.3800000000000001,4472.648868518392
1.3900000000000001,4484.847028595534
1.4000000000000001,4496.900335628198
1.41,4508.810642501827
1.42,4520.579793552892
1.43,4532.209623298546
1.44,4543.701955261039
1.45,4555.058600882528
1.46,4566.2813585260155
1.47,4577.372012558273
1.48,4588.332332510692
1.49,4599.164072314166
1.5,4609.868969604186
1.51,4620.44874509248
1.52,4630.905102001648
1.53,4641.239725559343
1.54,4651.454282548717
1.55,4661.55042091192
1.56,4671.529769403611
1.57,4681.39393729153
1.58,4691.144514101313
1.59,4700.783069402838
1.6,4710.311152635525
1.61,4719.730292970106
1.62,4729.041999204499
1.6300000000000001,4738.247759691533
1.6400000000000001,4747.349042296377
1.6500000000000001,4756.347294381604
1.6600000000000001,4765.243942817967
1.67,4774.040394019008
1.68,4782.738033997758
1.69,4791.338228443843
1.7,4799.842322819425
1.71,4808.251642472468
1.72,4816.5674927659165
1.73,4824.791159221443
1.74,4832.923907676498
1.75,4840.966984453464
1.76,4848.921616539795
1.77,4856.789011778072
1.78,4864.570359064981
1.79,4872.266828558276
1.8,4879.8795718908395
1.81,4887.409722391029
