Tempo,Monocitos susceptiveis/uL
0.0,250.0
0.01,248.73987748399017
0.02,247.49231435406563
0.03,246.25604198169322
0.04,245.02989004340228
0.05,243.81277941585398
0.06,242.60371565063352
0.07,241.40178297568977
0.08,240.2061387758037
0.09,239.01600850928733
0.1,237.83068102238545
0.11,236.6495042266393
0.12,235.4718811078381
0.13,234.29726603818136
0.14,233.1251613659484
0.15,231.95511425936039
0.16,230.7867137834582
0.17,229.61958819073664
0.18,228.4534024079971
0.19,227.28785570342978
0.2,226.1226795193321
0.21,224.95763545712947
0.22,223.79251340250295
0.23,222.6271297794596
0.24,221.46132592311497
0.25,220.29496656180643
0.26,219.1279383999277
0.27,217.9601487935772
0.28,216.79152451175418
0.29,215.62201057642156
0.3,214.4515691752896
0.31,213.28017864166426
0.32,212.10783249615386
0.33,210.93453854543895
0.34,209.76031803368997
0.35000000000000003,208.58520484256553
0.36,207.4092447360449
0.37,206.23249464664462
0.38,205.05502199984198
0.39,203.87690407378062
0.4,202.69822739156652
0.41000000000000003,201.5190871436789
0.42,200.33958663821983
0.43,199.15983677691224
0.44,197.9799555549273
0.45,196.80006758278148
0.46,195.62030362869197
0.47000000000000003,194.44080017991564
0.48,193.26169902172484
0.49,192.08314683279158
0.5,190.9052947958615
0.51,189.72829822270103
0.52,188.55231619239663
0.53,187.37751120217186
0.54,186.20404882997082
0.55,185.03209740813114
0.56,183.86182770754053
0.5700000000000001,182.69341263173493
0.58,181.52702692045665
0.59,180.3628468622457
0.6,179.2010500156884
0.61,178.0418149389939
0.62,176.88532092761193
0.63,175.73174775964387
0.64,174.581275448835
0.65,173.4340840049676
0.66,172.2903532015037
0.67,171.15026235035214
0.68,170.0139900836578
0.6900000000000001,168.88171414253162
0.7000000000000001,167.75361117265732
0.71,166.62985652672717
0.72,165.51062407367172
0.73,164.39608601465991
0.74,163.28641270585538
0.75,162.1817724879217
0.76,161.08233152227504
0.77,159.98825363408653
0.78,158.89970016203944
0.79,157.81682981484633
0.8,156.7397985345321
0.81,155.6687593664864
0.8200000000000001,154.60386233628668
0.8300000000000001,153.5452543332894
0.84,152.49307900098233
0.85,151.44747663408586
0.86,150.40858408238424
0.87,149.3765346612625
0.88,148.35145806891612
0.89,147.3334803101939
0.9,146.32272362702608
0.91,145.3193064353815
0.92,144.32334326868937
0.93,143.3349447276525
0.9400000000000001,142.3542174363701
0.9500000000000001,141.38126400468005
0.96,140.41618299662147
0.97,139.45906890491062
0.98,138.51001213131465
0.99,137.5690989727995
1.0,136.63641161332143
1.01,135.71202812112332
1.02,134.79602245139085
1.03,133.88846445411633
1.04,132.9894198870125
1.05,132.09895043331258
1.06,131.21711372428777
1.07,130.34396336630886
1.08,129.47954897227427
1.09,128.62391619722356
1.1,127.77710677795177
1.11,126.93915857643809
1.12,126.11010562689991
1.1300000000000001,125.28997818628201
1.1400000000000001,124.47880278798957
1.1500000000000001,123.67660229867322
1.16,122.88339597787486
1.17,122.09919954034281
1.18,121.3240252208266
1.19,120.5578818411627
1.2,119.8007748794648
1.21,119.05270654123439
1.22,118.31367583221025
1.23,117.58367863277856
1.24,116.8627077737688
1.25,116.15075311346457
1.26,115.44780161566227
1.27,114.75383742861531
1.28,114.0688419647059
1.29,113.41217502375306
1.3,112.78243931078748
1.31,112.17851929894309
1.32,111.59937359983735
1.33,111.04402793606505
1.34,110.51156892374273
1.35,110.00113856035654
1.36,109.51192932796778
1.37,109.04317983436142
1.3800000000000001,108.59417092535921
1.3900000000000001,108.16422221057158
1.4000000000000001,107.75268895258655
1.41,107.35895927619873
1.42,106.98245165994419
1.43,106.62261267707092
1.44,106.27891495726229
1.45,105.95085534404286
1.46,105.63795322591822
1.47,105.33974902200315
1.48,105.05580280523793
1.49,104.78569304832942
1.5,104.52901547932689
1.51,104.28538203528836
1.52,104.05441990384247
1.53,103.83577064363034
1.54,103.6290893756454
1.55,103.4340440383939
1.56,103.25031470059402
1.57,103.07759292583036
1.58,102.91558118419496
1.59,102.76399230648805
1.6,102.6225489770293
1.61,102.49098326155269
1.62,102.36903616703067
1.6300000000000001,102.25645723060393
1.6400000000000001,102.15300413508504
1.6500000000000001,102.05844234876423
1.6600000000000001,101.97254478747537
1.67,101.89509149708503
1.68,101.82586935474968
1.69,101.76467178744788
1.7,101.71129850643908
1.71,101.66555525642937
1.72,101.62725357833968
1.73,101.59621058467484
1.74,101.572248746584
1.75,101.55519569178533
1.76,101.54488401260201
1.77,101.5411510834226
1.78,101.54383888695898
1.79,101.55279384872809
1.8,101.56786667923257
1.81,101.58891222335848
1.82,101.61578931654776
1.83,101.6483606473385
1.84,101.6864926258982
1.85,101.73005525820403
1.86,101.77892202555098
1.87,101.83296976909178
1.8800000000000001,101.892078579135
1.8900000000000001,101.95613168894717
1.9000000000000001,102.02501537282237
1.9100000000000001,102.09861884819986
1.92,102.17683418162474
1.93,102.25955619836039
1.94,102.3466823954742
1.95,102.43811285822949
1.96,102.53375017962672
1.97,102.63349938294759
1.98,102.7372678471635
1.99,102.84496523507904
2.0,102.9565034240882
2.0100000000000002,103.07179643942798
2.02,103.1907603898211
2.0300000000000002,103.31331340540483
2.04,103.43937557784915
2.05,103.56886890257219
2.06,103.70171722296604
2.07,103.83784617655037
2.08,103.9771831429755
2.09,104.11965719380058
2.1,104.265199043976
2.11,104.41374100496299
2.12,104.56521693942601
2.13,104.71956221743716
2.14,104.87671367413421
2.15,105.03660956877681
2.16,105.1991895451478
2.17,105.36439459324909
2.18,105.53216701224353
2.19,105.70245037459675
2.2,105.87518949137434
2.21,106.05033037865245
2.22,106.22782022500071
2.23,106.4076073599991
2.24,106.58964122375112
2.25,106.7738723373577
2.2600000000000002,106.9602522743177
2.27,107.14873363282182
2.2800000000000002,107.3392700089087
2.29,107.53181597045268
2.3000000000000003,107.72632703195427
2.31,107.92275963010523
2.32,108.12107110010164
2.33,108.32121965267886
2.34,108.52316435184377
2.35,108.7268650932804
2.36,108.93228258340578
2.37,109.1393783190543
2.38,109.34811456776897
2.39,109.55845434867929
2.4,109.770361413946
2.41,109.9838002307538
2.42,110.19873596383367
2.43,110.41513445849728
2.44,110.63296222416656
2.45,110.85218641838199
2.46,111.072774831274
2.47,111.29469587048226
2.48,111.51791854650816
2.49,111.74241245848661
2.5,111.96814778036331
2.5100000000000002,112.1950952474645
2.52,112.42322614344661
2.5300000000000002,112.65251228761355
2.54,112.88292602258976
2.5500000000000003,113.11444020233793
2.56,113.34702818051025
2.57,113.58066379912259
2.58,113.81532137754161
2.59,114.05097570177469
2.6,114.2876020140534
2.61,114.52517600270122
2.62,114.76367379227655
2.63,115.00307193398278
2.64,115.24334739633669
2.65,115.48447755608755
2.66,115.72644018937916
2.67,115.96921346314713
2.68,116.2127759267445
2.69,116.4571065037886
2.7,116.70218448422236
2.71,116.94798951658376
2.72,117.19450160047694
2.73,117.44170107923901
2.74,117.68956863279666
2.75,117.93808527070688
2.7600000000000002,118.18723232537627
2.77,118.4369914454538
2.7800000000000002,118.68734458939161
2.79,118.9382740191691
2.8000000000000003,119.18976229417542
2.81,119.44179226524574
2.82,119.69434706884674
2.83,119.94741012140712
2.84,120.2009651137887
2.85,120.45499600589422
2.86,120.70948702140781
2.87,120.96442264266436
2.88,121.21978760564402
2.89,121.47556689508828
2.9,121.73174573973428
2.91,121.98830960766384
2.92,122.24524420176395
2.93,122.50253545529581
2.94,122.76016952756905
2.95,123.01813279971839
2.96,123.27641187057989
2.97,123.53499355266389
2.98,123.79386486822199
2.99,124.05301304540558
3.0,124.31242551451332
3.0100000000000002,124.57208990432508
3.02,124.83199403852004
3.0300000000000002,125.0921259321766
3.04,125.35247378835204
3.0500000000000003,125.61302599473952
3.06,125.87377112040043
3.0700000000000003,126.13469791257026
3.08,126.39579529353564
3.09,126.65705235758102
3.1,126.91845836800287
3.11,127.18000275418976
3.12,127.44167510876645
3.13,127.7034651848005
3.14,127.9653628930696
3.15,128.2273582993879
3.16,128.48944162199027
3.17,128.7516032289724
3.18,129.01383363578586
3.19,129.27612350278602
3.2,129.53846363283233
3.21,129.80084496893883
3.22,130.0632585919741
3.23,130.32569571840904
3.24,130.58814769811178
3.25,130.85060601218782
3.2600000000000002,131.11306227086496
3.27,131.37550821142133
3.2800000000000002,131.63793569615592
3.29,131.90033671040015
3.3000000000000003,132.1627033605697
3.31,132.42502787225555
3.3200000000000003,132.68730258835328
3.33,132.94951996722952
3.34,133.21167258092504
3.35,133.47375311339303
3.36,133.73575435877228
3.37,133.99766921969396
3.38,134.2594907056215
3.39,134.52121193122258
3.4,134.7828261147727
3.41,135.04432657658907
3.42,135.3057067374949
3.43,135.56696011731245
3.44,135.82808033338506
3.45,136.08906109912667
3.46,136.34989622259886
3.47,136.61057960511425
3.48,136.87110523986598
3.49,137.1314672105825
3.5,137.39165969020726
3.5100000000000002,137.65167693960237
3.52,137.91151330627616
3.5300000000000002,138.17116322313373
3.54,138.43062120725008
3.5500000000000003,138.6898818586654
3.56,138.94893985920174
3.5700000000000003,139.2077899713012
3.58,139.46642703688417
3.59,139.7248459762282
3.6,139.9830417868664
3.61,140.24100954250508
3.62,140.49874439196032
3.63,140.75624155811292
3.64,141.01349633688153
3.65,141.2705040962132
3.66,141.5272602750913
3.67,141.78376038256044
3.68,142.03999999676773
3.69,142.29597476402031
3.7,142.55168039785866
3.71,142.8071126781454
3.72,143.06226745016926
3.73,143.317140623764
3.74,143.57172817244162
3.75,143.82602613253994
3.7600000000000002,144.0800306023841
3.77,144.33373774146173
3.7800000000000002,144.58714376961126
3.79,144.84024496622368
3.8000000000000003,145.09303766945672
3.81,145.34551827546184
3.8200000000000003,145.59768323762341
3.83,145.84952906580992
3.84,146.101052325637
3.85,146.35224963774206
3.86,146.60311767707017
3.87,146.85365317217108
3.88,147.10385290450716
3.89,147.35371370777193
3.9,147.60323246721907
3.91,147.85240611900176
3.92,148.10123164952188
3.93,148.34970609478933
3.94,148.59782653979073
3.95,148.84559011786786
3.96,149.09299401010512
3.97,149.34003544472637
3.98,149.5867116965005
3.99,149.8330200861559
4.0,150.0789579798035
4.01,150.32452278836823
4.0200000000000005,150.56971196702872
