Tempo,Monocitos susceptiveis/uL
0.0,250.0
0.01,248.73987748399017
0.02,247.49231435406563
0.03,246.25604198169322
0.04,245.02989004340228
0.05,243.81277941585398
0.06,242.60371565063352
0.07,241.40178297568977
0.08,240.2061387758037
0.09,239.01600850928733
0.1,237.83068102238545
0.11,236.6495042266393
0.12,235.4718811078381
0.13,234.29726603818136
0.14,233.1251613659484
0.15,231.95511425936039
0.16,230.7867137834582
0.17,229.61958819073664
0.18,228.4534024079971
0.19,227.28785570342978
0.2,226.1226795193321
0.21,224.95763545712947
0.22,223.79251340250295
0.23,222.6271297794596
0.24,221.46132592311497
0.25,220.29496656180643
0.26,219.1279383999277
0.27,217.9601487935772
0.28,216.79152451175418
0.29,215.62201057642156
0.3,214.4515691752896
0.31,213.28017864166426
0.32,212.10783249615386
0.33,210.93453854543895
0.34,209.76031803368997
0.35000000000000003,208.58520484256553
0.36,207.4092447360449
0.37,206.23249464664462
0.38,205.05502199984198
0.39,203.87690407378062
0.4,202.69822739156652
0.41000000000000003,201.5190871436789
0.42,200.33958663821983
0.43,199.15983677691224
0.44,197.9799555549273
0.45,196.80006758278148
0.46,195.62030362869197
0.47000000000000003,194.44080017991564
0.48,193.26169902172484
0.49,192.08314683279158
0.5,190.9052947958615
0.51,189.72829822270103
0.52,188.55231619239663
0.53,187.37751120217186
0.54,186.20404882997082
0.55,185.03209740813114
0.56,183.86182770754053
0.5700000000000001,182.69341263173493
0.58,181.52702692045665
0.59,180.3628468622457
0.6,179.2010500156884
0.61,178.0418149389939
0.62,176.88532092761193
0.63,175.73174775964387
0.64,174.581275448835
0.65,173.4340840049676
0.66,172.2903532015037
0.67,171.15026235035214
0.68,170.0139900836578
0.6900000000000001,168.88171414253162
0.7000000000000001,167.75361117265732
0.71,166.62985652672717
0.72,165.51062407367172
0.73,164.39608601465991
0.74,163.28641270585538
0.75,162.1817724879217
0.76,161.08233152227504
0.77,159.98825363408653
0.78,158.89970016203944
0.79,157.81682981484633
0.8,156.7397985345321
0.81,155.6687593664864
0.8200000000000001,154.60386233628668
0.8300000000000001,153.5452543332894
0.84,152.49307900098233
0.85,151.44747663408586
0.86,150.40858408238424
0.87,149.3765346612625
0.88,148.35145806891612
0.89,147.3334803101939
0.9,146.32272362702608
0.91,145.3193064353815
0.92,144.32334326868937
0.93,143.3349447276525
0.9400000000000001,142.3542174363701
0.9500000000000001,141.38126400468005
0.96,140.41618299662147
0.97,139.45906890491062
0.98,138.51001213131465
0.99,137.5690989727995
1.0,136.63641161332143
1.01,135.71202812112332
1.02,134.79626890178767
1.03,133.8895026570603
1.04,132.9920653742941
1.05,132.10426315274768
1.06,131.2263740686683
1.07,130.3586499085275
1.08,129.50131778266834
1.09,128.6545816302366
1.1,127.818623625053
1.11,126.99360549101546
1.12,126.17966973468359
1.1300000000000001,125.37694080187215
1.1400000000000001,124.58552616435529
1.1500000000000001,123.80551734214352
1.16,123.03699086623268
1.17,122.2800091862262
1.18,121.53462152679353
1.19,120.80086469654002
1.2,120.07876385251956
1.21,119.36833322331874
1.22,118.66957679337155
1.23,117.98248895092519
1.24,117.30705510186608
1.25,116.64325225142655
1.26,115.99104955562525
1.27,115.35040884414553
1.28,114.72128511622213
1.29,114.10362701098842
1.3,113.49737725362931
1.31,112.9024730785899
1.32,112.3188466310039
1.33,111.74642534742875
1.34,111.18513231690518
1.35,110.63488662329485
1.36,110.09560366979396
1.37,109.56719548646775
1.3800000000000001,109.04957102160407
1.3900000000000001,108.54263641764052
1.4000000000000001,108.04629527238056
1.41,107.5604488861766
1.42,107.08499649572538
1.43,106.61983549508886
1.44,106.1648616445256
1.45,105.71996926768998
1.46,105.28505143773194
1.47,104.86000015280594
1.48,104.4447065014756
1.49,104.03906081847967
1.5,103.64295283130522
1.51,103.25627179799487
1.52,102.87890663659728
1.53,102.51074604665322
1.54,102.15167862309306
1.55,101.8015929629063
1.56,101.46037776492898
1.57,101.12792192308035
1.58,100.804114613367
1.59,100.48884537495914
1.6,100.18200418563151
1.61,99.88348153184923
1.62,99.59316847376704
1.6300000000000001,99.31095670539959
1.6400000000000001,99.03673861020927
1.6500000000000001,98.77040731234781
1.6600000000000001,98.51185672377807
1.67,98.26098158749218
1.68,98.01767751703372
1.69,97.78184103252171
1.7,97.55336959336636
1.71,97.33216162785747
1.72,97.11811655979896
1.73,96.91113483235458
1.74,96.71111792926307
1.75,96.51796839357333
1.76,96.33158984404339
1.77,96.15188698934054
1.78,95.97876564017298
1.79,95.81213271947806
1.8,95.65189627078527
1.81,95.49796546486733
1.82,95.35025060478661
1.83,95.2086631294392
1.84,95.07311561569394
1.85,94.94352177921853
1.86,94.81979647408077
1.87,94.70185569120795
1.8800000000000001,94.58961655578362
1.8900000000000001,94.4829973236566
1.9000000000000001,94.38191737683347
1.9100000000000001,94.28629721812165
1.92,94.19605846498712
1.93,94.11112384268696
1.94,94.03141717673398
1.95,93.95686338474736
1.96,93.88738846774045
1.97,93.82291950089385
1.98,93.7633846238594
1.99,93.70871303063798
2.0,93.65883495907167
2.0100000000000002,93.61368167998828
2.02,93.57318548603446
2.0300000000000002,93.537279680231
2.04,93.50589856428219
2.05,93.47897742666925
2.06,93.4564525305557
2.07,93.43826110153122
2.08,93.4243413152187
2.09,93.41463228476735
2.1,93.40907404825403
2.11,93.40760755601262
2.12,93.41017465791063
2.13,93.41671809059063
2.14,93.42718146469304
2.15,93.44150925207552
2.16,93.45964677304345
2.17,93.48154018360452
2.18,93.50713646276
2.19,93.53638339984383
2.2,93.56922958192033
2.21,93.60562438125005
2.22,93.64551794283301
2.23,93.6888611720372
2.24,93.73560572232039
2.25,93.78570398305173
2.2600000000000002,93.83910906743989
2.27,93.89577480057312
2.2800000000000002,93.95565570757684
2.29,94.01870700189315
2.3000000000000003,94.0848845736868
2.31,94.15414497838123
2.32,94.2264454253282
2.33,94.30174376661391
2.34,94.37999848600442
2.35,94.46116868803244
2.36,94.54521408722762
2.37,94.63209499749196
2.38,94.72177232162177
2.39,94.81420754097721
2.4,94.90936270530035
2.41,95.00720042268246
2.42,95.10768384968078
2.43,95.21077668158526
2.44,95.31644314283506
2.45,95.42464797758493
2.46,95.535356440421
2.47,95.64853428722569
2.48,95.764147766191
2.49,95.8821636089798
2.5,96.00254902203389
2.5100000000000002,96.1252716780284
2.52,96.25029970747104
2.5300000000000002,96.3776016904455
2.54,96.50714664849751
2.5500000000000003,96.63890403666257
2.56,96.7728437356338
2.57,96.90893604406865
2.58,97.047151671033
2.59,97.18746172858118
2.6,97.32983772447025
2.61,97.4742515550072
2.62,97.62067549802718
2.63,97.7690822060014
2.64,97.91944469927273
2.65,98.0717363594176
2.66,98.2259309227323
2.67,98.38200247384204
2.68,98.53992543943092
2.69,98.69967458209128
2.7,98.86122499429042
2.71,99.02455209245312
2.72,99.18963161115806
2.73,99.35643959744654
2.74,99.52495240524155
2.75,99.69514668987556
2.7600000000000002,99.86699940272527
2.77,100.0404877859515
2.7800000000000002,100.21558936734256
2.79,100.39228195525936
2.8000000000000003,100.5705436336805
2.81,100.75035275734567
2.82,100.93168794699571
2.83,101.11452808470757
2.84,101.29885230932257
2.85,101.48464001196625
2.86,101.67187083165832
2.87,101.86052465101095
2.88,102.0505815920138
2.89,102.24202201190442
2.9,102.43482649912221
2.91,102.6289758693445
2.92,102.82445116160335
2.93,103.02123363448133
2.94,103.21930476238508
2.95,103.41864623189484
2.96,103.61923993818894
2.97,103.82106798154143
2.98,104.02411266389174
2.99,104.22835648548478
3.0,104.43378214158034
3.0100000000000002,104.6403725192302
3.02,104.84811069412186
3.0300000000000002,105.0569799274875
3.04,105.26696366307684
3.0500000000000003,105.47804552419271
3.06,105.69020931078816
3.0700000000000003,105.90343899662376
3.08,106.11771872648394
3.09,106.33303281345124
3.1,106.54936573623729
3.11,106.76670213656942
3.12,106.98502681663162
3.13,107.20432473655903
3.14,107.42458101198464
3.15,107.64578091163723
3.16,107.86790985498959
3.17,108.09095340995582
3.18,108.31489729063686
3.19,108.53972735511324
3.2,108.76542960328396
3.21,108.99199017475077
3.22,109.21939534674664
3.23,109.44763153210779
3.24,109.67668527728819
3.25,109.90654326041563
3.2600000000000002,110.13719228938874
3.27,110.36861930001373
3.2800000000000002,110.60081135418038
3.29,110.83375563807621
3.3000000000000003,111.06743946043818
3.31,111.30185025084101
3.3200000000000003,111.53697555802147
3.33,111.77280304823773
3.34,112.00932050366328
3.35,112.24651582081428
3.36,112.48437700901013
3.37,112.7228921888661
3.38,112.9620495908176
3.39,113.20183755367538
3.4,113.44224452321089
3.41,113.68325905077127
3.42,113.92486979192326
3.43,114.16706550512542
3.44,114.4098350504281
3.45,114.65316738820046
3.46,114.89705157788404
3.47,115.14147677677225
3.48,115.38643223881527
3.49,115.63190731344973
3.5,115.87789144445267
3.5100000000000002,116.12437416881927
3.52,116.37134511566376
3.5300000000000002,116.61879400514307
3.54,116.8667106474027
3.5500000000000003,117.11508494154421
3.56,117.36390687461406
3.5700000000000003,117.61316652061313
3.58,117.86285403952658
3.59,118.11295967637349
3.6,118.36347376027598
3.61,118.6143867035472
3.62,118.86568900079793
3.63,119.11737122806124
3.64,119.36942404193489
3.65,119.62183817874099
3.66,119.87460445370259
3.67,120.12771376013684
3.68,120.38115706866418
3.69,120.6349254264334
3.7,120.88900995636207
3.71,121.14340185639205
3.72,121.39809239875964
3.73,121.65307292928023
3.74,121.90833486664677
3.75,122.16386970174217
3.7600000000000002,122.41966899696493
3.77,122.67572438556789
3.7800000000000002,122.93202757100974
3.79,123.18857032631898
3.8000000000000003,123.44534449347007
3.81,123.7023419827714
3.8200000000000003,123.95955477226491
3.83,124.216974907137
3.84,124.4745944991405
3.85,124.73240572602735
3.86,124.99040083099193
3.87,125.2485721221245
3.88,125.5069119718748
3.89,125.76541281652528
3.9,126.02406715567399
3.91,126.28286755172665
3.92,126.5418066293979
3.93,126.8008770752213
3.94,127.06007163706799
3.95,127.31938312367383
3.96,127.57880440417458
3.97,127.83832840764921
3.98,128.097948122671
3.99,128.35765659686606
4.0,128.6174469364796
4.01,128.87731230594903
4.0200000000000005,129.13724592748432
