Tempo,Particulas virais/uL
0.0,165.0
0.01,164.57540121579413
0.02,164.3142422490966
0.03,164.20636083785098
0.04,164.2422646067453
0.05,164.4130822108495
0.06,164.71051820636012
0.07,165.1268113361562
0.08,165.65469594768848
0.09,166.28736628729047
0.1,167.0184434387199
0.11,167.8419446949541
0.12,168.7522551712738
0.13,169.7441014847366
0.14,170.81252734048607
0.15,171.95287087916506
0.16,173.16074365217162
0.17,174.43201110276107
0.18,175.7627744411933
0.19,177.14935381136135
0.2,178.58827265471913
0.21,180.0762431849419
0.22,181.6101528936801
0.23,183.18705201407693
0.24,184.80414187447172
0.25,186.45876407996283
0.26,188.1483904643
0.27,189.87061375896397
0.28,191.6231389303063
0.29,193.40377513930167
0.3,195.2104282818368
0.31,197.0410940705552
0.32,198.89385162211713
0.33,200.76685751634392
0.34,202.65834029611463
0.35000000000000003,204.56659537908817
0.36,206.489980354354
0.37,208.42691063898232
0.38,210.3758554711643
0.39,212.33533421821753
0.4,214.30391297919135
0.41000000000000003,216.2802014631524
0.42,218.26285012547044
0.43,220.25054754556902
0.44,222.24201803066003
0.45,224.23601943095446
0.46,226.23134115274024
0.47000000000000003,228.226802356547
0.48,230.22125032838326
0.49,232.21355901273878
0.5,234.20262769669884
0.51,236.18737983512082
0.52,238.16676200738365
0.53,240.13974299673745
0.54,242.10531298376108
0.55,244.0624828458801
0.56,246.01028355531105
0.5700000000000001,247.94776566818183
0.58,249.8739988979371
0.59,251.78807176647018
0.6,253.68909132673676
0.61,255.57618295089736
0.62,257.4484901783112
0.63,259.3051746179633
0.64,261.1454159001507
0.65,262.9684116724871
0.66,264.77337763550526
0.67,266.5595476133467
0.68,268.3261736552316
0.6900000000000001,270.07252616359483
0.7000000000000001,271.7978940449607
0.71,273.50158487981247
0.72,275.1829251078861
0.73,276.8412602254911
0.74,278.47595499162867
0.75,280.0863936398412
0.76,281.6719800928899
0.77,283.23213817751423
0.78,284.76631183668667
0.79,286.2739653369278
0.8,287.75458346840276
0.81,289.2076717356694
0.8200000000000001,290.63275653709985
0.8300000000000001,292.0293853311443
0.84,293.3971267877537
0.85,294.7355709234222
0.86,296.0443292184544
0.87,297.32303471520294
0.88,298.5713420961627
0.89,299.7889277409438
0.9,300.9754897612812
0.91,302.1307480133706
0.92,303.25444408694887
0.93,304.3463412706649
0.9400000000000001,305.40622449340685
0.9500000000000001,306.4339002413733
0.96,307.42919645078865
0.97,308.3919623762756
0.98,309.3220684350027
0.99,310.21940602682713
1.0,311.08388733075105
1.01,311.9154450780988
1.02,312.73298128729226
1.03,313.53105501565744
1.04,314.305063449123
1.05,315.0509497362569
1.06,315.76515573304414
1.07,316.4445788513986
1.08,317.0865325922619
1.09,317.6887103965253
1.1,318.2491524918672
1.11,318.76621545210315
1.12,319.23854421877644
1.1300000000000001,319.665046363289
1.1400000000000001,320.04486839257225
1.1500000000000001,320.3773739227008
1.16,320.6621235634397
1.17,320.89885637290456
1.18,321.08747275564264
1.19,321.22801868980815
1.2,321.32067117995905
1.21,321.36572484155215
1.22,321.3635795316421
1.23,321.3147289477533
1.24,321.2197501235188
1.25,321.07929375558444
1.26,320.894075301553
1.27,320.6648667934744
1.28,320.3924893156456
1.29,320.077806099329
1.3,319.7217161904784
1.31,319.3251486497293
1.32,318.88905724679375
