Tempo,Monocitos susceptiveis/uL
0.0,250.0
0.01,248.73987447457327
0.02,247.4922865088014
0.03,246.2559528228879
0.04,245.02968852282217
0.05,243.8124000387469
0.06,242.6030786382355
0.07,241.4007944619705
0.08,240.20469103469802
0.09,239.0139802090949
0.1,237.82793750439973
0.11,236.64589780540157
0.12,235.46725139070588
0.13,234.2914402621582
0.14,233.11795474994966
0.15,231.94633037028916
0.16,230.7761449146413
0.17,229.60701575142457
0.18,228.43859732276778
0.19,227.27057882045366
0.2,226.10268202656027
0.21,224.93465930555607
0.22,223.76629173573164
0.23,222.59738736887078
0.24,221.4277796079886
0.25,220.2573256938045
0.26,219.08590529138158
0.27,217.91341916906038
0.28,216.7397879624487
0.29,215.56495101681017
0.3,214.38886530172337
0.31,213.21150439236973
0.32,212.03285751225334
0.33,210.8529286325649
0.34,209.67173562377806
0.35000000000000003,208.48930945541238
0.36,207.30569344021572
0.37,206.12094251931384
0.38,204.9351225851458
0.39,203.74830983925543
0.4,202.5605901822416
0.41000000000000003,201.37205863338497
0.42,200.18281877766864
0.43,198.9929822380955
0.44,197.8026681713764
0.45,196.61200278522355
0.46,195.42111887563115
0.47000000000000003,194.2301553826644
0.48,193.039256963405
0.49,191.84857358082164
0.5,190.65826010744496
0.51,189.46847594282926
0.52,188.27938464388004
0.53,187.0911535672155
0.54,185.9039535228135
0.55,184.71795843827223
0.56,183.53334503308528
0.5700000000000001,182.3502925023974
0.58,181.16898220976924
0.59,179.9895973885361
0.6,178.81232285139816
0.61,177.63734470792775
0.62,176.46485008972417
0.63,175.2950268829864
0.64,174.12806346831164
0.65,172.96414846756093
0.66,171.803470497664
0.67,170.64621793126227
0.68,169.49257866411403
0.6900000000000001,168.34273988920697
0.7000000000000001,167.19688787754288
0.71,166.0552077655755
0.72,164.91788334929683
0.73,163.78509688497934
0.74,162.65702889659104
0.75,161.5338579899087
0.76,160.41576067335976
0.77,159.30291118562832
0.78,158.1954813300626
0.79,157.09364031592244
0.8,155.99755460650488
0.81,154.9073877741836
0.8200000000000001,153.8233003623958
0.8300000000000001,152.7454497546047
0.84,151.67399005026172
0.85,150.6090719477853
0.86,149.55084263456692
0.87,148.4994456840068
0.88,147.45502095957366
0.89,146.4177045258738
0.9,145.38762856670542
0.91,144.3649213100646
0.92,143.3497069600592
0.93,142.3421056356767
0.9400000000000001,141.3422333163421
0.9500000000000001,140.35020179419115
0.96,139.36611863297452
0.97,138.39008713349764
0.98,137.42220630549184
0.99,136.4625708458017
1.0,135.51127112276507
1.01,134.5683931666521
1.02,133.6340186660217
1.03,132.70822496984502
1.04,131.79108509523817
1.05,130.88266774063845
1.06,129.98303730425224
1.07,129.09225390759605
1.08,128.21037342394672
1.09,127.33744751151158
1.1,126.4735236511251
1.11,125.61864518827451
1.12,124.7728513792538
1.1300000000000001,123.93617744124289
1.1400000000000001,123.10865460610665
1.1500000000000001,122.29031017770706
1.16,121.48116759252117
1.17,120.68124648335724
1.18,119.89056274596155
1.19,119.10912860830965
1.2,118.33695270237709
1.21,117.57404013818649
1.22,116.82039257993044
1.23,116.07600832397249
1.24,115.34088237853179
1.25,114.61500654486076
1.26,113.89836949972917
1.27,113.19095687903238
1.28,112.49275136234652
1.29,111.80373275825805
1.3,111.12387809030078
1.31,110.4531616833387
1.32,109.7915552502389
1.33,109.13902797868451
1.34,108.49554661798388
1.35,107.86107556573822
1.36,107.23557695423612
1.37,106.61901073644982
1.3800000000000001,106.01133477151426
1.3900000000000001,105.41250490957634
1.4000000000000001,104.82247507590843
1.41,104.24119735418584
1.42,103.66862206883506
1.43,103.104697866365
1.44,102.54937179560011
1.45,102.0025893867401
1.46,101.46429472917674
1.47,100.93443054800431
1.48,100.41293827916556
1.49,99.89975814318079
1.5,99.39482921741303
1.51,98.89808950682705
1.52,98.40947601320549
1.53,97.92892480278987
1.54,97.45637107231893
1.55,96.99174921344125
1.56,96.53499287548331
1.57,96.08603502655832
1.58,95.64480801300483
1.59,95.21124361714809
1.6,94.78527311338027
1.61,94.3668273225594
1.62,93.9558366647295
1.6300000000000001,93.55223121016773
1.6400000000000001,93.1559407287669
1.6500000000000001,92.76689473776425
1.6600000000000001,92.38502254783003
1.67,92.01025330753117
1.68,91.64251604618795
1.69,91.281739715143
1.7,90.92785322746401
1.71,90.5807854961028
1.72,90.24046547053527
1.73,89.90682217190752
1.74,89.57978472671513
1.75,89.25928239904314
1.76,88.94524462139549
1.77,88.63760102414338
1.78,88.33628146362268
1.79,88.04121604891108
1.8,87.75233516731613
1.81,87.46956950860583
1.82,87.19285008801347
1.83,86.9221082680489
1.84,86.65727577914828
1.85,86.39828473919465
1.86,86.14506767194146
1.87,85.89755752437117
1.8800000000000001,85.65568768302086
1.8900000000000001,85.41939198930682
1.9000000000000001,85.18860475387936
1.9100000000000001,84.96326077003933
1.92,84.74329532624712
1.93,84.52864421775469
1.94,84.31924375739072
1.95,84.11503078552862
1.96,83.91594267926648
1.97,83.72191736084774
1.98,83.53289330535075
1.99,83.34880954767483
2.0,83.1696056888499
2.0100000000000002,82.99522190169617
2.02,82.82559893585997
2.0300000000000002,82.66067812225081
2.04,82.50040137690459
2.05,82.34471120429694
2.06,82.19355070013036
2.07,82.0468635536179
2.08,81.90459404928576
2.09,81.76668706831644
2.1,81.63308808945348
2.11,81.50374318948825
2.12,81.37859904334864
2.13,81.25760292380889
2.14,81.14070270083907
2.15,81.02784684061251
2.16,80.91898440418842
2.17,80.81406504588672
2.18,80.71303901137131
2.19,80.61585713545774
2.2,80.52247083966033
2.21,80.43283212949345
2.22,80.34689359154136
2.23,80.26460839030992
2.24,80.18593026487362
2.25,80.11081352533053
2.2600000000000002,80.03921304907716
2.27,79.9710842769153
2.2800000000000002,79.90638320900185
2.29,79.84506640065243
2.3000000000000003,79.78709095800947
2.31,79.73241453358438
2.32,79.68099532168355
2.33,79.6327920537274
2.34,79.58776399347103
2.35,79.54587093213516
2.36,79.50707318345513
2.37,79.47133157865585
2.38,79.4386074613599
2.39,79.40886268243592
2.4,79.38205959479394
2.41,79.35816104813394
2.42,79.33713038365386
2.43,79.31893142872292
2.44,79.30352849152551
2.45,79.29088635568118
2.46,79.28097027484561
2.47,79.27374596729727
2.48,79.26917961051436
2.49,79.26723783574624
2.5,79.2678877225835
2.5100000000000002,79.27109679353029
2.52,79.27683300858288
2.5300000000000002,79.2850647598175
2.54,79.29576086599103
2.5500000000000003,79.30889056715736
2.56,79.3244235193025
2.57,79.34232978900093
2.58,79.36257984809593
2.59,79.38514456840628
2.6,79.40999521646134
2.61,79.43710344826697
2.62,79.46644130410392
2.63,79.49798120336081
2.64,79.53169593940316
2.65,79.56755867448025
2.66,79.60554293467118
2.67,79.6456226048715
2.68,79.68777192382184
2.69,79.73196547917932
2.7,79.77817820263326
2.71,79.82638536506582
2.72,79.87656257175867
2.73,79.92868575764633
2.74,79.9827311826171
2.75,80.03867542686199
2.7600000000000002,80.09649538627244
2.77,80.15616826788727
2.7800000000000002,80.21767158538927
2.79,80.28098315465185
2.8000000000000003,80.34608108933608
2.81,80.41294379653843
2.82,80.48154997248932
2.83,80.55187859830274
2.84,80.62390893577711
2.85,80.69762052324734
2.86,80.77299317148817
2.87,80.85000695966885
2.88,80.92864223135905
2.89,81.00887959058595
2.9,81.09069989794244
2.91,81.17408426674619
2.92,81.25901405924952
2.93,81.34547088289989
2.94,81.43343658665061
2.95,81.52289325732184
2.96,81.61382321601123
2.97,81.70620901455423
2.98,81.80003343203363
2.99,81.89527947133791
3.0,81.99193035576829
3.0100000000000002,82.08996952569385
3.02,82.19192898394384
3.0300000000000002,82.29851757068913
3.04,82.40962703213188
3.0500000000000003,82.52515313018968
3.06,82.64499538325302
3.0700000000000003,82.76905682862606
3.08,82.8972438046533
3.09,83.02946575072681
3.1,83.16563502354138
3.11,83.30566672812047
3.12,83.44947856227678
3.13,83.59699067329754
3.14,83.74812552575926
3.15,83.90280777947997
3.16,84.06096417670993
3.17,84.22252343774667
3.18,84.3874161642357
3.19,84.55557474948753
3.2,84.72693329520376
3.21,84.90142753406116
3.22,85.07899475765376
3.23,85.2595737493391
3.24,85.44310472157599
3.25,85.62952925737979
3.2600000000000002,85.81879025555428
3.27,86.01083187939119
3.2800000000000002,86.20559950855566
3.29,86.40303969390175
3.3000000000000003,86.60310011498497
3.31,86.80572954005982
3.3200000000000003,87.01087778836873
3.33,87.21849569454665
3.34,87.42853507498035
3.35,87.64094869597622
3.36,87.85569024360264
3.37,88.07271429508472
3.38,88.29197629164008
3.39,88.51343251265328
3.4,88.73704005109576
3.41,88.96275679010563
3.42,89.1905413806491
3.43,89.42035322019152
3.44,89.65215243231238
3.45,89.88589984720348
3.46,90.12155698299472
3.47,90.35908602785638
3.48,90.59844982283064
3.49,90.839611845349
3.5,91.08253619339536
3.5100000000000002,91.32718757027801
3.52,91.57353126997614
3.5300000000000002,91.82153316302916
3.54,92.07115968293967
3.5500000000000003,92.32237781306284
3.56,92.5751550739569
3.5700000000000003,92.82945951117131
3.58,93.08525968345072
3.59,93.34252465133459
3.6,93.6012239661332
3.61,93.86132765926261
3.62,94.12280623192173
3.63,94.3856306450963
3.64,94.64977230987506
3.65,94.91520307806454
3.66,95.18189523308958
3.67,95.44982148116772
3.68,95.71895494274592
3.69,95.9892691441891
3.7,96.26073800971015
3.71,96.5333358535323
3.72,96.80703737227431
3.73,97.08181763755043
3.74,97.35765208877662
3.75,97.63451652617567
3.7600000000000002,97.91238710397374
3.77,98.1912403237814
3.7800000000000002,98.47105302815265
3.79,98.75180239431555
3.8000000000000003,99.03346592806842
3.81,99.3160214578361
3.8200000000000003,99.59944712888043
3.83,99.88372139766012
3.84,100.1688230263348
3.85,100.4547310774084
3.86,100.7414249085074
3.87,101.02888416728963
3.88,101.31708878647916
3.89,101.6060189790234
3.9,101.89565523336854
3.91,102.18597830884944
3.92,102.47696923119062
3.93,102.76860928811462
3.94,103.06088002505462
3.95,103.35376324096802
3.96,103.64724098424794
3.97,103.9412955487296
3.98,104.23590946978881
3.99,104.53106552052971
4.0,104.82674670805922
4.01,105.1229362698455
4.0200000000000005,105.41961767015798
4.03,105.71677459658665
4.04,106.01439095663817
4.05,106.31245087440664
4.0600000000000005,106.61093868731683
4.07,106.90983894293787
4.08,107.20913639586519
4.09,107.50881600466903
4.1,107.80886292890737
4.11,108.10926252620166
4.12,108.4100003493734
4.13,108.71106214364008
4.14,109.01243384386858
4.15,109.31410157188465
4.16,109.61605163383679
4.17,109.91827051761304
4.18,110.22074489030929
4.19,110.52346159574768
4.2,110.82640765204363
4.21,111.1295702492204
4.22,111.43293674686966
4.23,111.736494671857
4.24,112.04023171607108
4.25,112.34413573421533
4.26,112.64819474164106
4.2700000000000005,112.95239691222083
4.28,113.25673057626109
4.29,113.56118421845304
4.3,113.8657464758607
4.3100000000000005,114.17040613594529
4.32,114.47515213462486
4.33,114.77997355436845
4.34,115.08485962232368
4.3500000000000005,115.3897997084771
4.36,115.69478332384644
4.37,115.99980011870386
4.38,116.30483988082953
4.39,116.60989253379475
4.4,116.91494813527383
4.41,117.21999687538417
4.42,117.52502907505364
4.43,117.83003518441478
4.44,118.13500578122509
4.45,118.43993156931273
4.46,118.7448033770472
4.47,119.04961215583418
4.48,119.35434897863408
4.49,119.65900503850378
4.5,119.96357164716099
4.51,120.26804023357056
4.5200000000000005,120.57240234255251
4.53,120.876649633411
4.54,121.18077387858402
4.55,121.48476696231305
4.5600000000000005,121.78862087933254
4.57,122.09232773357857
4.58,122.3958797369163
4.59,122.69926920788582
4.6000000000000005,123.00248857046601
4.61,123.30553035285602
4.62,123.60838718627389
4.63,123.91105180377211
4.64,124.21351703906966
4.65,124.51577582540014
4.66,124.81782119437578
4.67,125.11964627486692
4.68,125.42124429189657
4.69,125.72260856554995
4.7,126.02373250989845
4.71,126.32460963193799
4.72,126.62523353054118
4.73,126.92559789542337
4.74,127.2256965061219
4.75,127.52552323098877
4.76,127.82507202619595
4.7700000000000005,128.12433693475361
4.78,128.42331208554057
4.79,128.72199169234702
4.8,129.02037005292917
4.8100000000000005,129.31844154807573
4.82,129.61620064068575
4.83,129.91364187485792
4.84,130.21075987499083
4.8500000000000005,130.5075493448943
4.86,130.80400506691126
4.87,131.10012190105027
4.88,131.39589478412836
4.89,131.69131872892396
4.9,131.98638882333987
4.91,132.28110022957605
4.92,132.57544818331212
4.93,132.86942799289918
4.94,133.16303503856108
4.95,133.45626477160494
4.96,133.7491127136405
4.97,134.0415744558086
4.98,134.3336456580181
4.99,134.62532204819175
5.0,134.91659942152026
5.01,135.20747363972478
