Tempo,Monocitos susceptiveis/uL
0.0,250.0
0.01,248.73987748399017
0.02,247.49231435406563
0.03,246.25604198169322
0.04,245.02989004340228
0.05,243.81277941585398
0.06,242.60371565063352
0.07,241.40178297568977
0.08,240.2061387758037
0.09,239.01600850928733
0.1,237.83068102238545
0.11,236.6495042266393
0.12,235.4718811078381
0.13,234.29726603818136
0.14,233.1251613659484
0.15,231.95511425936039
0.16,230.7867137834582
0.17,229.61958819073664
0.18,228.4534024079971
0.19,227.28785570342978
0.2,226.1226795193321
0.21,224.95763545712947
0.22,223.79251340250295
0.23,222.6271297794596
0.24,221.46132592311497
0.25,220.29496656180643
0.26,219.1279383999277
0.27,217.9601487935772
0.28,216.79152451175418
0.29,215.62201057642156
0.3,214.4515691752896
0.31,213.28017864166426
0.32,212.10783249615386
0.33,210.93453854543895
0.34,209.76031803368997
0.35000000000000003,208.58520484256553
0.36,207.4092447360449
0.37,206.23249464664462
0.38,205.05502199984198
0.39,203.87690407378062
0.4,202.69822739156652
0.41000000000000003,201.5190871436789
0.42,200.33958663821983
0.43,199.15983677691224
0.44,197.9799555549273
0.45,196.80006758278148
0.46,195.62030362869197
0.47000000000000003,194.44080017991564
0.48,193.26169902172484
0.49,192.08314683279158
0.5,190.9052947958615
0.51,189.72829822270103
0.52,188.552458783689
0.53,187.37811782471826
0.54,186.2056085791387
0.55,185.03525687704933
0.56,183.86738134732752
0.5700000000000001,182.70229359314982
0.58,181.54029834345357
0.59,180.38169358263852
0.6,179.2267706606649
0.61,178.0758143855701
0.62,176.92910310029853
0.63,175.78690874561775
0.64,174.64949691078053
0.65,173.51712687348214
0.66,172.3900516305602
0.67,171.2685179207855
0.68,170.15276624099903
0.6900000000000001,169.04303085676176
0.7000000000000001,167.93953980859914
0.71,166.84251491484144
0.72,165.75217177198505
0.73,164.66871975342588
0.74,163.5923620073469
0.75,162.52329545447512
0.76,161.46171078635987
0.77,160.40779246476404
0.78,159.36171872270194
0.79,158.32366156760304
0.8,157.29378678702824
0.81,156.27225395731563
0.8200000000000001,155.25921645548544
0.8300000000000001,154.25482147468935
0.84,153.25921004344596
0.85,152.27251704886496
0.86,151.29487126402336
0.87,150.326395379622
0.88,149.3672060400164
0.89,148.4174138836842
0.9,147.4771235881613
0.91,146.54643391945237
0.92,145.62543778589333
0.93,144.71422229642147
0.9400000000000001,143.81286882318557
0.9500000000000001,142.92145306840817
0.96,142.04004513539388
0.97,141.16870960356033
0.98,140.3075056073532
0.99,139.45648691889318
1.0,138.6157020341908
1.01,137.78519426275372
1.02,136.9650018204028
1.03,136.15515792510493
1.04,135.3556908956244
1.05,134.56662425278915
1.06,133.78797682316457
1.07,133.01976284492446
1.08,132.26199207570727
1.09,131.5146699022446
1.1,130.7777974515498
1.11,130.051371703455
1.12,129.33538560428764
1.1300000000000001,128.62982818147938
1.1400000000000001,127.93468465890476
1.1500000000000001,127.2499365727503
1.16,126.57556188772006
1.17,125.9115351133884
1.18,125.25782742051688
1.19,124.61440675715804
1.2,123.98123796437562
1.21,123.35828289141739
1.22,122.7455005101839
1.23,122.14284702884406
1.24,121.55027600445544
1.25,120.96773845445539
1.26,120.39518296689623
1.27,119.83255580930609
1.28,119.27980103606414
1.29,118.73686059418742
1.3,118.20367442743343
1.31,117.68018057863088
1.32,117.16631529015817
1.33,116.66201310249672
1.34,116.16720695079336
1.35,115.68182825937329
1.36,115.20580703415169
1.37,114.73907195289895
1.3800000000000001,114.28155045332093
1.3900000000000001,113.83316881892173
1.4000000000000001,113.39385226262266
1.41,112.96352500811655
1.42,112.54211036894242
1.43,112.1295308252703
1.44,111.72570809839135
1.45,111.33056322291303
1.46,110.94401661666329
1.47,110.5659881483124
1.48,110.19639720272448
1.49,109.83516274405494
1.5,109.48220337661304
1.51,109.13743740351228
1.52,108.80078288313413
1.53,108.47215768343344
1.54,108.15147953411602
1.55,107.83866607672174
1.56,107.53363491264783
1.57,107.23630364914959
1.58,106.94658994335676
1.59,106.66441154434565
1.6,106.38968633330839
1.61,106.12233236186133
1.62,105.86226788853615
1.6300000000000001,105.60941141349768
1.6400000000000001,105.36368171153285
1.6500000000000001,105.1249978633563
1.6600000000000001,104.89327928527787
1.67,104.66844575727781
1.68,104.45041744953555
1.69,104.23911494745789
1.7,104.03445927525236
1.71,103.8363719180912
1.72,103.64477484291152
1.73,103.45959051789619
1.74,103.28074193068032
1.75,103.10815260532706
1.76,102.94174661811626
1.77,102.78144861218881
1.78,102.62718381108891
1.79,102.47887803124547
1.8,102.33645769343362
1.81,102.19984983325607
1.82,102.0689821106835
1.83,101.94378281869234
1.84,101.82418089103705
1.85,101.71010590919379
1.86,101.60148810851096
1.87,101.49825838360128
1.8800000000000001,101.40034829300932
1.8900000000000001,101.30769006318734
1.9000000000000001,101.22021659181155
1.9100000000000001,101.1378614504696
1.92,101.06055888674965
1.93,100.98824382576016
1.94,100.9208518711088
1.95,100.8583193053676
1.96,100.80058309005138
1.97,100.74758086513448
1.98,100.6992509481311
1.99,100.65553233276266
2.0,100.6163646872357
2.0100000000000002,100.58168835215209
2.02,100.55144433807332
2.0300000000000002,100.52557432275937
2.04,100.50402064810172
2.05,100.48672631677007
2.06,100.47363498859062
2.07,100.46469097667368
2.08,100.45983924330754
2.09,100.45902539563463
2.1,100.46219568112558
2.11,100.46929698286601
2.12,100.48027681467016
2.13,100.49508331603512
2.14,100.51366524694846
2.15,100.53597198256186
2.16,100.56195350774237
2.17,100.5915604115128
2.18,100.62474388139186
2.19,100.66145569764441
2.2,100.70164822745147
2.21,100.7452744190094
2.22,100.79228779556702
2.23,100.84264244940904
2.24,100.89629303579379
2.25,100.95319476685277
2.2600000000000002,101.01330340545923
2.27,101.0765752590724
2.2800000000000002,101.14296717356406
2.29,101.21243652703315
2.3000000000000003,101.28494122361441
2.31,101.36043968728629
2.32,101.43889085568327
2.33,101.52025417391734
2.34,101.60448958841319
2.35,101.69155754076121
2.36,101.78141896159241
2.37,101.87403526447879
2.38,101.96936833986284
2.39,102.06738054901912
2.4,102.16803471805127
2.41,102.27129413192695
2.42,102.37712252855349
2.43,102.48548409289661
2.44,102.59634345114446
2.45,102.70966566491902
2.46,102.82541622553667
2.47,102.94356104831995
2.48,103.06406646696165
2.49,103.18689922794309
2.5,103.31202648500762
2.5100000000000002,103.43941579369071
2.52,103.56903510590749
2.5300000000000002,103.70085276459884
2.54,103.83483749843678
2.5500000000000003,103.97095841659001
2.56,104.1091850035499
2.57,104.24948711401792
2.58,104.39183496785463
2.59,104.53619914509066
2.6,104.68255058100004
2.61,104.83086056123605
2.62,104.98110071702966
2.63,105.1332430204508
2.64,105.28725977973231
2.65,105.44312363465657
2.66,105.6008075520048
2.67,105.76028482106875
2.68,105.92152904922469
2.69,106.08451415756936
2.7,106.24921437661769
2.71,106.41560424206192
2.72,106.58365859059172
2.73,106.75335255577507
2.74,106.9246615639992
2.75,107.09756133047149
2.7600000000000002,107.27202785527956
2.77,107.44803741951014
2.7800000000000002,107.62556658142631
2.79,107.80459217270237
2.8000000000000003,107.98509129471589
2.81,108.16704131489635
2.82,108.35041986312977
2.83,108.53520482821864
2.84,108.72137435439664
2.85,108.90890683789752
2.86,109.09778092357728
2.87,109.28797550158929
2.88,109.47946970411154
2.89,109.67224290212529
2.9,109.86627470224461
2.91,110.06154494359598
2.92,110.25803369474735
2.93,110.455721250686
2.94,110.6545881298444
2.95,110.85461507117357
2.96,111.055783031263
2.97,111.25807318150673
2.98,111.46146690531465
2.99,111.66594579536854
3.0,111.87149165092202
3.0100000000000002,112.07808647514379
3.02,112.28571247250352
3.0300000000000002,112.4943520461997
3.04,112.70398779562868
3.0500000000000003,112.91460251389444
3.06,113.12617918535823
3.0700000000000003,113.33870098322757
3.08,113.55215126718387
3.09,113.7665135810481
3.1,113.98177165048382
3.11,114.19790938073697
3.12,114.4149108544118
3.13,114.63276032928228
3.14,114.85144223613848
3.15,115.0709411766672
3.16,115.29124192136632
3.17,115.51232940749227
3.18,115.73418873704006
3.19,115.95680517475525
3.2,116.18016414617733
3.21,116.40425123571403
3.22,116.62905218474572
3.23,116.85455288975977
3.24,117.08073940051406
3.25,117.30759791822912
3.2600000000000002,117.53511479380853
3.27,117.76327652608693
3.2800000000000002,117.99206976010518
3.29,118.22148128541228
3.3000000000000003,118.45149803439332
3.31,118.68210708062323
3.3200000000000003,118.9132956372457
3.33,119.14505105537691
3.34,119.37736082253352
3.35,119.6102125610845
3.36,119.84359402672644
3.37,120.07749310698176
3.38,120.31189781971955
3.39,120.54679631169843
3.4,120.78217685713125
3.41,121.01802785627105
3.42,121.2543378340179
3.43,121.4910954385464
3.44,121.7282894399531
3.45,121.96590872892396
3.46,122.20394231542099
3.47,122.44237932738802
3.48,122.6812090094752
3.49,122.92042072178168
3.5,123.16000393861647
3.5100000000000002,123.39994824727678
3.52,123.64024334684382
3.5300000000000002,123.88087904699552
3.54,124.12184526683598
3.5500000000000003,124.36313203374124
3.56,124.60472948222117
3.5700000000000003,124.84662785279714
3.58,125.08881749089507
3.59,125.33128884575379
3.6,125.57403246934825
3.61,125.81703901532737
3.62,126.06029923796619
3.63,126.30380399113226
3.64,126.5475442272657
3.65,126.79151099637299
3.66,127.03569544503397
3.67,127.28008881542199
3.68,127.52468244433693
3.69,127.76946776225076
3.7,128.01443629236553
3.71,128.2595796496836
3.72,128.50488954008952
3.73,128.75035775944409
3.74,128.99597619268948
3.75,129.241736812966
3.7600000000000002,129.48763168073964
3.77,129.73365294294086
3.7800000000000002,129.97979283211384
3.79,130.22604366557638
3.8000000000000003,130.47239784459
3.81,130.71884785354038
3.8200000000000003,130.96538625912754
3.83,131.21200570956606
3.84,131.45869893379466
3.85,131.70545874069555
3.86,131.95227801832274
3.87,132.19914973313973
3.88,132.44606692926604
3.89,132.69302272773263
3.9,132.94001032574593
3.91,133.18702299596052
3.92,133.43405408575998
3.93,133.68109701654618
3.94,133.92814528303649
3.95,134.17519245256912
3.96,134.42223216441622
3.97,134.66925812910455
3.98,134.91626412774403
3.99,135.16324401136342
4.0,135.4101917002535
4.01,135.65710118331745
4.0200000000000005,135.90396651742824
