Tempo,Particulas virais/uL
0.0,165.0
0.01,164.57686416355804
0.02,164.31918220836184
0.03,164.2168325725551
0.04,164.26035745340715
0.05,164.44091462127776
0.06,164.75023288559564
0.07,165.18057090837894
0.08,165.7246790897663
0.09,166.37576427583082
0.1,167.12745706199755
0.11,167.9737814860145
0.12,168.90912692292005
0.13,169.92822201106134
0.14,171.02611045316166
0.15,172.198128549902
0.16,173.43988433563558
0.17,174.74723819684195
0.18,176.1162848638728
0.19,177.54333667555835
0.2,179.02490802442742
0.21,180.55770089773446
0.22,182.13859143625623
0.23,183.76461743898957
0.24,185.43296674750763
0.25,187.14096644886973
0.26,188.88607284067473
0.27,190.66586210614338
0.28,192.47802165104858
0.29,194.32034205791575
0.3,196.19070961622148
0.31,198.08709939035083
0.32,200.00756878985976
0.33,201.9502516091474
0.34,203.91335250599548
0.35000000000000003,205.89514189059636
0.36,207.89395119868053
0.37,209.90816852418777
0.38,211.93623458861248
0.39,213.97663902570696
0.4,216.02791696165826
0.41000000000000003,218.08864587217153
0.42,220.15744269910869
0.43,222.23296121045036
0.44,224.3138895883809
0.45,226.3989482312479
0.46,228.4868877560242
0.47000000000000003,230.576487188709
0.48,232.6665523308506
0.49,234.75591429106
0.5,236.84342817101978
0.51,238.9279718960774
0.52,239.1149852004775
0.53,239.31755904287573
0.54,239.53225794536277
0.55,239.7558717681776
0.56,239.98540211311462
0.5700000000000001,240.2180496759344
0.58,240.45120247556895
0.59,240.6824248935159
0.6,240.90944746195657
0.61,241.13015734385613
0.62,241.34258945264622
0.63,241.54491816308843
0.64,241.73544956859953
0.65,241.91261424371672
0.66,242.0749604735156
0.67,242.22114791469028
0.68,242.3499416556814
0.6900000000000001,242.46020664571543
0.7000000000000001,242.5509024649101
0.71,242.6210784097243
0.72,242.66986886999806
0.73,242.69648897565182
0.74,242.7002304928053
0.75,242.6804579506448
0.76,242.63660498182318
0.77,242.568170860527
0.78,242.47471722359842
0.79,242.35586496126146
0.8,242.21129126508194
0.81,242.04072682178915
0.8200000000000001,241.84395314251663
0.8300000000000001,241.62080001787788
0.84,241.3711430900902
0.85,241.09490153409646
0.86,240.79203584031796
0.87,240.46254569230123
0.88,240.10646793310477
0.89,239.72387461480935
0.9,239.3148711260305
0.91,238.87959439276835
0.92,238.4182111483486
0.93,237.93091626859413
0.9400000000000001,237.4179311687183
0.9500000000000001,236.87950225875437
0.96,236.3158994546297
0.97,235.7274147422617
0.98,235.1143607922966
0.99,234.4770696233333
1.0,233.8158913116746
1.01,233.13119274582868
1.02,232.42335642414642
1.03,231.6927792941247
1.04,230.93987163203693
1.05,230.1650559616664
1.06,229.36876601102173
1.07,228.55144570600234
1.08,227.71354820006255
1.09,226.8555349389907
1.1,225.97787475997993
1.11,225.08104302421845
1.12,224.165520782271
1.1300000000000001,223.23179397155982
1.1400000000000001,222.2803526452848
1.1500000000000001,221.311690232147
1.16,220.32630282626116
1.17,219.3246885066587
1.18,218.30734668579476
1.19,217.27477748648298
1.2,216.22748114668786
1.21,215.16595745160853
1.22,214.09070519249025
1.23,213.0022216516006
1.24,211.9010021128064
1.25,210.7875393971861
1.26,209.66232342310948
1.27,208.52584079021403
1.28,207.37857438670403
1.29,206.22100301939508
1.3,205.05360106592363
1.31,203.8768381485378
1.32,202.69117882888372
1.33,201.4970823231988
1.34,200.29500223732165
1.35,199.08538632092777
1.36,197.8686762403991
1.37,196.64530736973617
1.3800000000000001,195.41570859892204
1.3900000000000001,194.18030215914987
1.4000000000000001,192.93950346432743
1.41,191.69372096827567
1.42,190.44335603704272
1.43,189.18880283575882
1.44,187.93044822946388
1.45,186.6686716973451
1.46,185.40384525982938
1.47,184.1363334179826
1.48,182.8664931046761
1.49,181.59467364698955
1.5,180.32121673932866
1.51,179.04645642674606
1.52,177.77071909796382
1.53,176.4943234876071
1.54,175.21758068716912
1.55,173.9407941642395
1.56,172.66425978953913
1.57,171.3882658713176
1.58,170.1130931966803
1.59,168.83901507942554
1.6,167.5662974139842
1.61,166.29519873506672
1.62,165.0259702826356
1.6300000000000001,163.75885607183324
1.6400000000000001,162.49409296750872
1.6500000000000001,161.2319107629987
1.6600000000000001,159.9725322628311
1.67,158.71617336903213
1.68,157.4630431707297
1.69,156.21334403675849
1.7,154.96727171098453
1.71,153.725015410078
1.72,152.48675792347555
1.73,151.25267571528488
1.74,150.02293902789495
1.75,148.7977119870668
1.76,147.5771527082909
1.77,146.36141340420667
1.78,145.15064049289117
1.79,143.9449747068328
