Tempo,Linfocitos T/uL
0.0,2000.0
0.01,2006.3350389237826
0.02,2013.1581349445987
0.03,2020.451053335679
0.04,2028.1970592764133
0.05,2036.3807901648095
0.06,2044.9881399091648
0.07,2054.0061538703926
0.08,2063.4229332918876
0.09,2073.227548196538
0.1,2083.4099578538985
0.11,2093.9609380274774
0.12,2104.8720143049586
0.13,2116.1354008950034
0.14,2127.743944344758
0.15,2139.691071693794
0.16,2151.9707426341497
0.17,2164.5774052934585
0.18,2177.505955299776
0.19,2190.7516978233643
0.2,2204.310312323052
0.21,2218.177819753394
0.22,2232.3505520142226
0.23,2246.82512344668
0.24,2261.5984041998463
0.25,2276.6674953099186
0.26,2292.0297053498316
0.27,2307.682528521447
0.28,2323.623624075221
0.29,2339.85079695371
0.3,2356.361979565584
0.31,2373.1552146061063
0.32,2390.2286388484035
0.33,2407.5804678374266
0.34,2425.2089814253477
0.35000000000000003,2443.1125100933377
0.36,2461.2894220103035
0.37,2479.738110784265
0.38,2498.456983866701
0.39,2517.444451574408
0.4,2536.69891669725
0.41000000000000003,2556.218764663681
0.42,2576.002354239079
0.43,2596.0480087348114
0.44,2616.3540077085854
0.45,2636.9185791389773
0.46,2657.7398920591936
0.47000000000000003,2678.8160496370338
0.48,2700.145082689757
0.49,2721.7249436240977
0.5,2743.5535007930393
0.51,2765.6285332621724
0.52,2787.9458478549627
0.53,2810.491797346454
0.54,2833.2558195057104
0.55,2856.22761425407
0.56,2879.3971245050634
0.5700000000000001,2902.754518980342
0.58,2926.2901768397173
0.59,2949.994673977267
0.6,2973.8587708477367
0.61,2997.873401698446
0.62,3022.029665091675
0.63,3046.318815611257
0.64,3070.732256654964
0.65,3095.261534221343
0.66,3119.8983316060303
0.67,3144.634464928372
0.68,3169.4618794144217
0.6900000000000001,3194.3726463671956
0.7000000000000001,3219.358960759458
0.71,3244.4131393883686
0.72,3269.5276195350584
0.73,3294.6949580756873
0.74,3319.9078309937763
0.75,3345.159033246648
0.76,3370.4414789416783
0.77,3395.748201780754
0.78,3421.072355733914
0.79,3446.4072159055795
0.8,3471.7461795591294
0.81,3497.082767267798
0.8200000000000001,3522.4106241620366
0.8300000000000001,3547.7235212455394
0.84,3573.015356754129
0.85,3598.280157533626
0.86,3623.5120804146877
0.87,3648.705413564384
0.88,3673.8545777960394
0.89,3698.954127820533
0.9,3723.9987534238676
0.91,3748.9832805573947
0.92,3773.9026723285815
0.93,3798.7520298816553
0.9400000000000001,3823.526593158855
0.9500000000000001,3848.2217415343575
0.96,3872.83299431421
0.97,3897.356011096833
0.98,3921.786591989799
0.99,3946.1206776797007
1.0,3970.3543493529473
1.01,3994.483828466315
1.02,4018.5054763669837
1.03,4042.4157937626396
1.04,4066.2114200430374
1.05,4089.889132455118
1.06,4113.445845134482
1.07,4136.878607996602
1.08,4160.184605491748
1.09,4183.361155228064
1.1,4206.4057064677045
1.11,4229.315838501328
1.12,4252.089258906563
1.1300000000000001,4274.723801696388
1.1400000000000001,4297.217425363564
1.1500000000000001,4319.568210827496
1.16,4341.774359290024
1.17,4363.834190006763
1.18,4385.746137980673
1.19,4407.508751584602
1.2,4429.120690119501
1.21,4450.5807213150165
1.22,4471.887718779079
1.23,4493.040659403031
1.24,4514.038620728712
1.25,4534.880778283787
1.26,4555.56640289145
1.27,4576.094857960456
1.28,4596.465596761233
1.29,4616.678159693654
1.3,4636.732171551778
1.31,4656.627338790709
1.32,4676.363446800423
1.33,4695.940357191226
1.34,4715.358005095224
1.35,4734.616396487951
1.36,4753.715605534065
1.37,4772.655771960745
1.3800000000000001,4791.4370984621955
1.3900000000000001,4810.059848138396
1.4000000000000001,4828.524341971023
1.41,4846.830956339196
1.42,4864.980120577475
1.43,4882.9723145783255
1.44,4900.808066441017
1.45,4918.487950168721
1.46,4936.012583415357
1.47,4953.382625283539
1.48,4970.598774174776
1.49,4987.661765692896
1.5,5004.572370601484
1.51,5021.331392835964
1.52,5037.939667570776
1.53,5054.398059341971
1.54,5070.707460225391
1.55,5086.868788070456
1.56,5102.882984789487
1.57,5118.751014702337
1.58,5134.473862936023
1.59,5150.052533878935
1.6,5165.488049689116
1.61,5180.781448856007
1.62,5195.933784814978
1.6300000000000001,5210.9461246139135
1.6400000000000001,5225.819547631024
1.6500000000000001,5240.555144343019
1.6600000000000001,5255.1540151427225
1.67,5269.617269205163
1.68,5283.9460234011285
1.69,5298.141401257149
1.7,5312.204531960834
1.71,5326.136549410477
1.72,5339.938591307793
1.73,5353.61179829269
1.74,5367.157313118901
1.75,5380.576279869349
1.76,5393.86984321008
1.77,5407.039147681617
1.78,5420.085337026569
1.79,5433.0095535523615
1.8,5445.812937527938
1.81,5458.496626613301
1.82,5471.061755320771
1.83,5483.509454506868
1.84,5495.840850893697
1.85,5508.0570666188
1.86,5520.159218812371
1.87,5532.1484192008475
1.8800000000000001,5544.025773735809
1.8900000000000001,5555.792382247224
1.9000000000000001,5567.449338120055
1.9100000000000001,5578.997727993265
1.92,5590.438631480308
1.93,5601.773120910188
1.94,5613.00226108821
1.95,5624.1271090755645
1.96,5635.148713986908
1.97,5646.068116805136
1.98,5656.886350212564
1.99,5667.604438437749
2.0,5678.223397117222
2.0100000000000002,5688.744233171415
2.02,5699.1679446941
2.0300000000000002,5709.495520854664
2.04,5719.727941812594
2.05,5729.866178643528
2.06,5739.911193276309
2.07,5749.863938440433
2.08,5759.725357623363
2.09,5769.496385037161
2.1,5779.177945593936
2.11,5788.770954889611
2.12,5798.276319195541
2.13,5807.694935457529
2.14,5817.0276913018
2.15,5826.275465047527
2.16,5835.439125725507
2.17,5844.5195331026
2.18,5853.517537711572
2.19,5862.433980886001
2.2,5871.269694799897
2.21,5880.025502511725
2.22,5888.7022180125405
2.23,5897.300646277926
2.24,5905.821583323465
2.25,5914.265816263499
2.2600000000000002,5922.634123372893
2.27,5930.927274151599
2.2800000000000002,5939.146029391776
2.29,5947.29114124725
2.3000000000000003,5955.363353305121
2.31,5963.363400659307
2.32,5971.292009985866
2.33,5979.149899619886
2.34,5986.937779633821
2.35,5994.656351917074
2.36,6002.306310256711
2.37,6009.888340419154
2.38,6017.403120232712
2.39,6024.851319670852
2.4,6032.233600936053
2.41,6039.550618544177
2.42,6046.803019409215
2.43,6053.99144292833
2.44,6061.116521067101
2.45,6068.178878444878
2.46,6075.179132420173
2.47,6082.117893176
2.48,6088.995763805104
2.49,6095.8133403950105
2.5,6102.571212112826
2.5100000000000002,6109.269961289737
2.52,6115.910163505152
2.5300000000000002,6122.492387670442
2.54,6129.017196112224
2.5500000000000003,6135.485144655144
2.56,6141.896782704132
2.57,6148.252653326082
2.58,6154.553293330914
2.59,6160.799233352018
2.6,6166.990997926011
2.61,6173.129105571815
2.62,6179.214068869011
2.63,6185.246394535459
2.64,6191.226583504163
2.65,6197.155130999349
2.66,6203.032526611773
