Tempo,Monocitos susceptiveis/uL
0.0,250.0
0.01,248.73987447457327
0.02,247.4922865088014
0.03,246.2559528228879
0.04,245.02968852282217
0.05,243.8124000387469
0.06,242.6030786382355
0.07,241.4007944619705
0.08,240.20469103469802
0.09,239.0139802090949
0.1,237.82793750439973
0.11,236.64589780540157
0.12,235.46725139070588
0.13,234.2914402621582
0.14,233.11795474994966
0.15,231.94633037028916
0.16,230.7761449146413
0.17,229.60701575142457
0.18,228.43859732276778
0.19,227.27057882045366
0.2,226.10268202656027
0.21,224.93465930555607
0.22,223.76629173573164
0.23,222.59738736887078
0.24,221.4277796079886
0.25,220.2573256938045
0.26,219.08590529138158
0.27,217.91341916906038
0.28,216.7397879624487
0.29,215.56495101681017
0.3,214.38886530172337
0.31,213.21150439236973
0.32,212.03285751225334
0.33,210.8529286325649
0.34,209.67173562377806
0.35000000000000003,208.48930945541238
0.36,207.30569344021572
0.37,206.12094251931384
0.38,204.9351225851458
0.39,203.74830983925543
0.4,202.5605901822416
0.41000000000000003,201.37205863338497
0.42,200.18281877766864
0.43,198.9929822380955
0.44,197.8026681713764
0.45,196.61200278522355
0.46,195.42111887563115
0.47000000000000003,194.2301553826644
0.48,193.039256963405
0.49,191.84857358082164
0.5,190.65826010744496
0.51,189.46847594282926
0.52,189.63649365009312
0.53,189.80395269718431
0.54,189.97085494165225
0.55,190.13720223486993
0.56,190.30299642205455
0.5700000000000001,190.46823934228792
0.58,190.63293282853692
0.59,190.7970787076738
0.6,190.9606788004964
0.61,191.12373492174845
0.62,191.2862488801396
0.63,191.44822247836555
0.64,191.609657513128
0.65,191.77055577515466
0.66,191.930919049219
0.67,192.0907491141601
0.68,192.25004774290244
0.6900000000000001,192.40881670247546
0.7000000000000001,192.56705775403324
0.71,192.724772652874
0.72,192.8819631484596
0.73,193.03863098443486
0.74,193.19477789864706
0.75,193.35040562316507
0.76,193.50551588429863
0.77,193.66011040261748
0.78,193.81419089297046
0.79,193.96775906450452
0.8,194.12081662068368
0.81,194.27336525930795
0.8200000000000001,194.42540667253212
0.8300000000000001,194.57694254688454
0.84,194.72797456328587
0.85,194.8785043970677
0.86,195.02853371799108
0.87,195.17806419026516
0.88,195.32709747256553
0.89,195.47563521805267
0.9,195.62367907439034
0.91,195.77123068376375
0.92,195.91829168289783
0.93,196.06486370307545
0.9400000000000001,196.2109483701554
0.9500000000000001,196.3565473045905
0.96,196.50166212144552
0.97,196.64629443041517
0.98,196.79044583584187
0.99,196.9341179367336
1.0,197.07731232678168
1.01,197.2200305943783
1.02,197.3622743226343
1.03,197.50404508939667
1.04,197.645344467266
1.05,197.78617402361402
1.06,197.9265353206009
1.07,198.0664299151926
1.08,198.20585935917822
1.09,198.3448251991871
1.1,198.48332897670608
1.11,198.62137222809642
1.12,198.7589564846111
1.1300000000000001,198.89608327241163
1.1400000000000001,199.032754112585
1.1500000000000001,199.1689705211606
1.16,199.30473400912695
1.17,199.44004608244862
1.18,199.57490824208276
1.19,199.70932198399586
1.2,199.8432887991803
1.21,199.9768101736709
1.22,200.10988758856143
1.23,200.24252252002094
1.24,200.37471643931028
1.25,200.50647081279828
1.26,200.63778710197818
1.27,200.76866676348365
1.28,200.89911124910506
1.29,201.02912200580562
1.3,201.1587004757373
1.31,201.28784809625697
1.32,201.41656629994222
1.33,201.54485651460735
1.34,201.67272016331916
1.35,201.80015866441272
1.36,201.92717343150716
1.37,202.0537658735213
1.3800000000000001,202.17993739468923
1.3900000000000001,202.3056893945761
1.4000000000000001,202.43102326809333
1.41,202.55594040551438
1.42,202.68044219248995
1.43,202.80453001006347
1.44,202.92820523468643
1.45,203.05146923823355
1.46,203.17432338801808
1.47,203.29676904680696
1.48,203.41880757283587
1.49,203.5404403198244
1.5,203.66166863699098
1.51,203.78249386906788
1.52,203.90291735631615
1.53,204.02294043454043
1.54,204.14256443510382
1.55,204.2617906849426
1.56,204.38062050658104
1.57,204.49905521814594
1.58,204.61709613338135
1.59,204.7347445616631
1.6,204.8520018080133
1.61,204.96886917311497
1.62,205.0853479533262
1.6300000000000001,205.20143944069477
1.6400000000000001,205.31714492297237
1.6500000000000001,205.43246568362892
1.6600000000000001,205.54740300186674
1.67,205.66195815263487
1.68,205.77613240664306
1.69,205.889927030376
1.7,206.00334328610725
1.71,206.1163824319134
1.72,206.2290457216878
1.73,206.3413344051547
1.74,206.4532497278829
1.75,206.5647929312998
1.76,206.67596525270494
1.77,206.7867679252839
1.78,206.89720217812183
1.79,207.00726923621727
1.8,207.11697032049554
1.81,207.22630664782238
1.82,207.3352794310175
1.83,207.44388987886796
1.84,207.55213919614155
1.85,207.66002858360022
1.86,207.76755923801338
1.87,207.87473235217118
1.8800000000000001,207.98154911489775
1.8900000000000001,208.0880107110643
1.9000000000000001,208.19411832160242
1.9100000000000001,208.29987312351705
1.92,208.40527628989958
1.93,208.51032898994086
1.94,208.61503238894417
1.95,208.71938764833817
1.96,208.82339592568974
1.97,208.92705837471684
1.98,209.03037614530135
1.99,209.13335038350172
2.0,209.23598223156577
2.0100000000000002,209.33827282794337
2.02,209.440223307299
2.0300000000000002,209.54183480052436
2.04,209.64310843475099
2.05,209.74404533336264
2.06,209.84464661600782
2.07,209.94491339861224
2.08,210.0448467933911
2.09,210.14444790886145
2.1,210.24371784985462
2.11,210.34265771752825
2.12,210.4412686093787
2.13,210.53955161925313
2.14,210.63750783736162
2.15,210.7351383502893
2.16,210.83244424100843
2.17,210.92942658889035
2.18,211.0260864697175
2.19,211.12242495569532
2.2,211.21844311546417
2.21,211.31414201411113
2.22,211.40952271318193
2.23,211.50458627069258
2.24,211.59933374114127
2.25,211.69376617551987
2.2600000000000002,211.78788462132576
2.27,211.88169012257336
2.2800000000000002,211.97518371980576
2.29,212.0683664501062
2.3000000000000003,212.1612393471096
2.31,212.25380344101413
2.32,212.34605975859242
2.33,212.43800932320315
2.34,212.52965315480228
2.35,212.62099226995446
2.36,212.7120276818442
2.37,212.80276040028724
2.38,212.89319143174157
2.39,212.98332177931877
2.4,213.07315244279508
2.41,213.1626844186224
2.42,213.25191869993952
2.43,213.34085627658294
2.44,213.42949813509802
2.45,213.5178452587498
2.46,213.60589862753395
2.47,213.6936592181877
2.48,213.78112800420058
2.49,213.8683059558253
2.5,213.9551940400884
2.5100000000000002,214.04179322080114
2.52,214.12810445857002
2.5300000000000002,214.21412871080756
2.54,214.29986693174286
2.5500000000000003,214.3853200724322
2.56,214.47048908076962
2.57,214.55537490149737
2.58,214.63997847621644
2.59,214.72430074339698
2.6,214.80834263838872
2.61,214.89210509343135
2.62,214.97558903766486
2.63,215.05879539713985
2.64,215.14172509482776
2.65,215.2243790506312
2.66,215.30675818139403
2.67,215.38886340091165
2.68,215.47069561994107
2.69,215.552255746211
2.7,215.63354468443197
2.71,215.71456333630633
2.72,215.79531260053827
2.73,215.8757933728438
2.74,215.9560065459606
2.75,216.03595300965807
2.7600000000000002,216.1156336507471
2.77,216.19504935308987
2.7800000000000002,216.2742009976098
2.79,216.35308946230117
2.8000000000000003,216.43171562223893
2.81,216.5100803495884
2.82,216.58818451361498
2.83,216.6660289806937
2.84,216.74361461431897
2.85,216.82094227511396
2.86,216.89801282084034
2.87,216.9748271064077
2.88,217.05138598388305
2.89,217.12769030250024
2.9,217.20374090866946
2.91,217.27953864598655
2.92,217.3550843552424
2.93,217.43037887443228
2.94,217.50542303876506
2.95,217.58021768067258
2.96,217.65476362981883
2.97,217.72906171310916
2.98,217.80311275469944
2.99,217.87691757600524
3.0,217.95047699571091
3.0100000000000002,218.02379182977867
3.02,218.09686289145765
3.0300000000000002,218.1696909912929
3.04,218.24227693713445
3.0500000000000003,218.31462153414617
3.06,218.3867255848148
3.0700000000000003,218.45858988895878
3.08,218.5302152437372
3.09,218.60160244365846
3.1,218.67275228058935
3.11,218.74366554376363
3.12,218.81434301979087
3.13,218.88478549266515
3.14,218.95499374377377
3.15,219.0249685519059
3.16,219.09471069326125
3.17,219.16422094145864
3.18,219.2335000675446
3.19,219.30254884000195
3.2,219.37136802475825
3.21,219.43995838519442
3.22,219.50832068215306
3.23,219.576455673947
3.24,219.64436411636768
3.25,219.7120467626935
3.2600000000000002,219.7795043636982
3.27,219.84673766765926
3.2800000000000002,219.913747420366
3.29,219.98053436512814
3.3000000000000003,220.0470992427838
3.31,220.11344279170777
3.3200000000000003,220.17956574781985
3.33,220.2454688445928
3.34,220.31115281306066
3.35,220.37661838182672
3.36,220.44186627707165
3.37,220.5068972225616
3.38,220.57171193965618
3.39,220.6363111473165
3.4,220.70069556211303
3.41,220.76486589823375
3.42,220.8288228674919
3.43,220.89256717933395
3.44,220.95609954084742
3.45,221.0194206567688
3.46,221.0825312294913
3.47,221.1454319590727
3.48,221.2081235432431
3.49,221.27060667741253
3.5,221.3328820546789
3.5100000000000002,221.39495036583548
3.52,221.4568122993787
3.5300000000000002,221.51846854151572
3.54,221.57991977617206
3.5500000000000003,221.64116668499915
3.56,221.70220994738196
3.5700000000000003,221.76305024044652
3.58,221.82368823906734
3.59,221.884124615875
3.6,221.94436004126362
3.61,222.0043951833982
3.62,222.06423070822208
3.63,222.1238672794644
3.64,222.18330555864733
3.65,222.2425462050935
3.66,222.30158987593327
3.67,222.36043722611208
3.68,222.41908890839764
3.69,222.47754557338718
3.7,222.5358078695147
3.71,222.59387644305824
3.72,222.65175193814682
3.73,222.70943499676778
3.74,222.7669262587739
3.75,222.8242263618904
3.7600000000000002,222.88133594172206
3.77,222.93825563176026
3.7800000000000002,222.99498606339003
3.79,223.05152786589704
3.8000000000000003,223.10788166647458
3.81,223.16404809023052
3.8200000000000003,223.22002776019423
3.83,223.27582129732352
3.84,223.3314293205115
3.85,223.38685244659342
3.86,223.44209129035363
3.87,223.49714646453225
3.88,223.55201857983207
3.89,223.60670824492524
3.9,223.66121606646016
3.91,223.71554264906803
3.92,223.76968859536967
3.93,223.8236545059822
3.94,223.8774409795257
3.95,223.93104861262975
3.96,223.98447799994025
3.97,224.0377297341258
3.98,224.09080440588446
3.99,224.14370260395012
4.0,224.1964249150992
4.01,224.248971924157
4.0200000000000005,224.30134421400436
4.03,224.35354236558402
4.04,224.40556695790704
4.05,224.4574185680593
4.0600000000000005,224.50909777120785
4.07,224.5606051406073
4.08,224.6119412476062
4.09,224.66310666165336
4.1,224.71410195030415
4.11,224.76492767922682
4.12,224.81558441220878
4.13,224.86607271116284
4.14,224.91639313613342
4.15,224.96654624530285
4.16,225.01653259499741
4.17,225.06635273969368
4.18,225.11600723202454
4.19,225.1654966227854
4.2,225.21482146094024
4.21,225.26398229362775
4.22,225.31297966616737
4.23,225.36181412206537
4.24,225.4104862030208
4.25,225.45899644893166
4.26,225.50734539790065
4.2700000000000005,225.55553358624138
4.28,225.60356154848418
4.29,225.65142981738208
4.3,225.69913892391665
4.3100000000000005,225.74668939730398
4.32,225.79408176500053
4.33,225.84131655270892
4.34,225.88839428438385
4.3500000000000005,225.93531548223783
4.36,225.982080666747
4.37,226.02869035665697
4.38,226.07514506898846
4.39,226.12144531904312
4.4,226.1675916204092
4.41,226.21358448496733
4.42,226.25942442289602
4.43,226.3051119426775
4.44,226.35064755110332
4.45,226.39603175327989
4.46,226.44126505263412
4.47,226.4863479509191
4.48,226.53128094821955
4.49,226.57606454295737
4.5,226.62069923189725
4.51,226.66518551015213
4.5200000000000005,226.70952387118865
4.53,226.75371480683273
4.54,226.79775880727493
4.55,226.84165636107593
4.5600000000000005,226.88540795517196
4.57,226.92901407488012
4.58,226.97247520390388
4.59,227.0157918243384
4.6000000000000005,227.05896441667588
4.61,227.1019934598108
4.62,227.1448794310454
4.63,227.18762280609488
4.64,227.2302240590926
4.65,227.27268366259548
4.66,227.31500208758922
4.67,227.35717980349344
4.68,227.39921727816693
4.69,227.4411149779129
4.7,227.48287336748402
4.71,227.5244929100877
4.72,227.5659740673912
4.73,227.6073172995267
4.74,227.64852306509644
4.75,227.68959182117783
4.76,227.73052402332846
4.7700000000000005,227.77132012559122
4.78,227.81198058049927
4.79,227.85250583908112
4.8,227.89289635086558
4.8100000000000005,227.93315256388684
4.82,227.97327492468926
4.83,228.01326387833254
4.84,228.0531198683965
4.8500000000000005,228.09284333698608
4.86,228.13243472473619
4.87,228.17189447081662
4.88,228.21122301293698
4.89,228.25042078735143
4.9,228.2894882288636
4.91,228.3284257708314
4.92,228.3672338451718
4.93,228.40591288236567
4.94,228.44446331146253
4.95,228.4828855600853
4.96,228.521180054435
4.97,228.55934721929563
4.98,228.59738747803868
4.99,228.635301252628
5.0,228.67308896362437
5.01,228.71075103019018
